Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.059113535	0.294282600	1035.6	4844.0			0.235		3808.4						
1	Spectrogram 1	1	0.059113535	0.294282600	1035.6	4844.0	2625.0	3187.5	0.235	562.5	3808.4	2625.0	2.203	2250.0;2250.0;2437.5;1875.0;1875.0;1875.0;2062.5;2062.5;2062.5;2250.0;2250.0;2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;3187.5;3187.5;3187.5;3375.0;3187.5;3562.5;3562.5;3562.5;3562.5;3562.5;3937.5;3937.5;3937.5;3937.5;4125.0;4125.0;3187.5;3937.5;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;3937.5;3937.5;3937.5;3937.5;3750.0;4125.0;3750.0;3937.5;3750.0;3750.0;3750.0;3750.0;3750.0;3562.5;3375.0;3562.5;3750.0;4125.0;3750.0;3750.0;3750.0	6.5	0.0;70.3;-210.9;0.0;0.0;70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;70.3;0.0;0.0;70.3;-70.3;140.6;0.0;0.0;0.0;0.0;140.6;0.0;0.0;0.0;70.3;0.0;-351.6;281.2;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;-70.3;140.6;-140.6;70.3;-70.3;0.0;0.0;0.0;0.0;-70.3;-70.3;70.3;70.3;140.6;-140.6;0.0;0.0	13
2	Waveform 1	1	0.470330057	0.688793122	1002.2	5011.0			0.218		4008.8						
2	Spectrogram 1	1	0.470330057	0.688793122	1002.2	5011.0	2625.0	3750.0	0.218	1125.0	4008.8	2625.0	2.182	1875.0;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2250.0;2250.0;2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3187.5;3187.5;3187.5;3375.0;3187.5;3562.5;3562.5;3562.5;3375.0;3937.5;3937.5;4125.0;3937.5;3375.0;4125.0;4125.0;3187.5;4312.5;3937.5;4125.0;4125.0;4125.0;3187.5;3937.5;4312.5;4125.0;3000.0;4312.5;4125.0;4125.0;4125.0;3937.5;3937.5;3937.5;3937.5;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0	8.8	70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;70.3;0.0;0.0;70.3;-70.3;140.6;0.0;0.0;-70.3;210.9;0.0;70.3;-70.3;-210.9;281.2;0.0;-351.6;421.9;-140.6;70.3;0.0;0.0;-351.6;281.2;140.6;-70.3;-421.9;492.2;-70.3;0.0;0.0;-70.3;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	15
3	Waveform 1	1	0.839621440	1.067080044	1035.6	4777.1			0.227		3741.5						
3	Spectrogram 1	1	0.839621440	1.067080044	1035.6	4777.1	2625.0	3750.0	0.227	1125.0	3741.5	2625.0	2.019	3750.0;3750.0;2062.5;2062.5;2062.5;2062.5;2062.5;2250.0;2250.0;2250.0;2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3000.0;3000.0;3187.5;3187.5;3375.0;3562.5;3375.0;3562.5;3562.5;3562.5;3375.0;3750.0;3750.0;3937.5;3750.0;3000.0;4125.0;4125.0;3187.5;3187.5;4125.0;4125.0;4312.5;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;3937.5;3750.0;3750.0;3937.5;3750.0;3750.0;3750.0;3750.0;3562.5;3562.5;3562.5;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0	0.0	0.0;-632.8;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;0.0;70.3;70.3;-70.3;70.3;0.0;0.0;-70.3;140.6;0.0;70.3;-70.3;-281.2;421.9;0.0;-351.6;0.0;351.6;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;-70.3;0.0;70.3;-70.3;0.0;0.0;0.0;-70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0	13
4	Waveform 1	1	1.232230690	1.463544524	1035.6	4910.8			0.231		3875.2						
4	Spectrogram 1	1	1.232230690	1.463544524	1035.6	4910.8	2625.0	3562.5	0.231	937.5	3875.2	2625.0	2.114	1875.0;1875.0;1875.0;2062.5;2062.5;2062.5;2062.5;2062.5;2250.0;2250.0;2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2625.0;2437.5;2625.0;2812.5;2812.5;3000.0;3000.0;3000.0;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3562.5;3562.5;3562.5;3750.0;3750.0;3750.0;3937.5;3375.0;3937.5;3937.5;4125.0;4125.0;4125.0;3750.0;4312.5;4125.0;3187.5;3000.0;3187.5;4125.0;4125.0;4125.0;4125.0;4125.0;3937.5;3937.5;3937.5;3937.5;3750.0;3750.0;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3562.5;3750.0	8.3	0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;-70.3;-70.3;70.3;70.3;0.0;70.3;0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;70.3;0.0;0.0;70.3;0.0;0.0;70.3;-210.9;210.9;0.0;70.3;0.0;0.0;-140.6;210.9;-70.3;-351.6;-70.3;70.3;351.6;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;-70.3;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;-70.3;70.3	12
5	Waveform 1	1	1.637593355	1.863766881	968.8	4944.2			0.226		3975.4						
5	Spectrogram 1	1	1.637593355	1.863766881	968.8	4944.2	2625.0	3562.5	0.226	937.5	3975.4	2625.0	2.113	1875.0;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2062.5;2250.0;2250.0;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3000.0;3187.5;3187.5;3187.5;3375.0;3375.0;3562.5;3375.0;3562.5;3750.0;3750.0;3750.0;3937.5;3187.5;4125.0;4125.0;4125.0;3937.5;3000.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;2812.5;4125.0;4125.0;4125.0;4125.0;3937.5;3937.5;4125.0;3750.0;3750.0;3937.5;3750.0;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0;3562.5;3375.0;3562.5;3562.5	7.6	70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;70.3;0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;0.0;70.3;0.0;70.3;-70.3;70.3;70.3;0.0;0.0;70.3;-281.2;351.6;0.0;0.0;-70.3;-351.6;421.9;0.0;0.0;0.0;0.0;0.0;-492.2;492.2;0.0;0.0;0.0;-70.3;0.0;70.3;-140.6;0.0;70.3;-70.3;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;-70.3;70.3;0.0	18
