Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.030032471	0.184485180	1302.9	3741.5			0.154		2438.7						
1	Spectrogram 1	1	0.030032471	0.184485180	1302.9	3741.5	2812.5	3187.5	0.154	375.0	2438.7	3187.5	2.159	2062.5;2062.5;2062.5;2062.5;1875.0;1875.0;1875.0;1875.0;1875.0;1687.5;2062.5;2437.5;1875.0;3187.5;2437.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3187.5;3187.5;3187.5;3000.0;3187.5;3187.5;3187.5;3375.0;3187.5;3375.0;3375.0;3375.0;2812.5;3187.5;2625.0;2625.0;2812.5;2812.5;2812.5;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2625.0;3187.5;2812.5	5.0	0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;-70.3;140.6;140.6;-210.9;492.2;-281.2;281.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;-70.3;0.0;0.0;-70.3;70.3;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;-210.9;140.6;-210.9;0.0;70.3;0.0;0.0;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;210.9;-140.6	18
2	Waveform 1	1	0.396857655	0.564181423	1269.5	3708.1			0.167		2438.7						
2	Spectrogram 1	1	0.396857655	0.564181423	1269.5	3708.1	2812.5	3375.0	0.167	562.5	2438.7	3000.0	2.218	2062.5;2062.5;2062.5;2062.5;1875.0;1875.0;1875.0;1875.0;1875.0;2062.5;1687.5;1500.0;1875.0;3000.0;3000.0;1500.0;3000.0;3000.0;3000.0;3187.5;3187.5;3375.0;3187.5;3375.0;3375.0;3375.0;3375.0;3375.0;3187.5;3187.5;3187.5;3375.0;3375.0;3187.5;3187.5;3187.5;3375.0;3375.0;2812.5;2812.5;2812.5;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3375.0;2812.5;2812.5;3375.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;2812.5;3375.0	8.1	0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;70.3;-140.6;-70.3;140.6;421.9;0.0;-562.5;562.5;0.0;0.0;70.3;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;70.3;0.0;-70.3;0.0;0.0;70.3;0.0;-210.9;0.0;0.0;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;210.9;-210.9;0.0;210.9;-140.6;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;210.9	17
3	Waveform 1	1	0.767272224	0.919579756	1169.2	3875.2			0.152		2705.9						
3	Spectrogram 1	1	0.767272224	0.919579756	1169.2	3875.2	3000.0	3375.0	0.152	375.0	2705.9	3375.0	2.281	2062.5;2062.5;1875.0;1875.0;1875.0;1687.5;1875.0;2062.5;2062.5;1875.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3562.5;3187.5;3375.0;3375.0;3375.0;3187.5;3375.0;3000.0;3375.0;3000.0;3000.0;3375.0;3187.5;3000.0;3000.0;2812.5;2812.5;3000.0;3562.5;3375.0;3375.0;3000.0;2812.5;3187.5;3375.0;3375.0;3375.0;3000.0;3000.0;3000.0;3000.0;3000.0;2812.5	5.1	0.0;-70.3;0.0;0.0;-70.3;70.3;70.3;0.0;-70.3;492.2;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;70.3;-140.6;70.3;0.0;0.0;-70.3;70.3;-140.6;140.6;-140.6;0.0;140.6;-70.3;-70.3;0.0;-70.3;0.0;70.3;210.9;-70.3;0.0;-140.6;-70.3;140.6;70.3;0.0;0.0;-140.6;0.0;0.0;0.0;0.0;-70.3	16
4	Waveform 1	1	1.126834651	1.279142183	1403.1	3741.5			0.152		2338.5						
4	Spectrogram 1	1	1.126834651	1.279142183	1403.1	3741.5	3000.0	3375.0	0.152	375.0	2338.5	3375.0	2.165	2062.5;2062.5;2062.5;2250.0;1875.0;1875.0;1875.0;1875.0;2062.5;1875.0;3375.0;1875.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3187.5;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3187.5;3187.5;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;3375.0;2812.5;2812.5;2812.5;3375.0;2812.5;3375.0;3187.5;3375.0;2812.5;3375.0;3375.0;3000.0;2812.5;2812.5;3000.0;3375.0	8.8	0.0;0.0;70.3;-140.6;0.0;0.0;0.0;70.3;-70.3;562.5;-562.5;492.2;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;-210.9;0.0;0.0;210.9;-210.9;210.9;-70.3;70.3;-210.9;210.9;0.0;-140.6;-70.3;0.0;70.3;140.6	20
