Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.283918790	0.484101163	1773.7	5746.6			0.200		3972.9						
1	Spectrogram 1	1	0.283918790	0.484101163	1773.7	5746.6	2411.7	3876.0	0.200	1464.3	3972.9	3789.8	2.386	2411.7;2584.0;2497.9;2497.9;2497.9;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1894.9;1894.9;3703.7;3703.7;3703.7;3703.7;3703.7;3703.7;3703.7;3789.8;3789.8;3876.0;3876.0;3789.8;3876.0;4048.2;3962.1;3876.0;3703.7;3876.0;3962.1;3962.1	8.1	6	29.7;-14.8;0.0;0.0;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;311.6;0.0;0.0;0.0;0.0;0.0;0.0;14.8;0.0;14.8;0.0;-14.8;14.8;29.7;-14.8;-14.8;-29.7;29.7;14.8;0.0
2	Waveform 1	1	0.658115905	0.856989896	1748.8	5771.6			0.199		4022.9						
2	Spectrogram 1	1	0.658115905	0.856989896	1748.8	5771.6	2411.7	3789.8	0.199	1378.1	4022.9	3789.8	2.203	2497.9;2411.7;2497.9;2497.9;2411.7;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;1894.9;1894.9;2239.5;3703.7;3703.7;3703.7;3703.7;3703.7;3703.7;3703.7;3789.8;3703.7;3789.8;3789.8;3789.8;3876.0;3703.7;3789.8;3703.7;3789.8;3703.7;3789.8	7.0	11	-14.8;14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;0.0;59.4;252.2;0.0;0.0;0.0;0.0;0.0;0.0;14.8;-14.8;14.8;0.0;0.0;14.8;-29.7;14.8;-14.8;14.8;-14.8;14.8
3	Waveform 1	1	1.025971972	1.213070530	1748.8	5721.6			0.187		3972.9						
3	Spectrogram 1	1	1.025971972	1.213070530	1748.8	5721.6	2325.6	3703.7	0.187	1378.1	3972.9	3789.8	2.153	2497.9;2497.9;2411.7;2497.9;2497.9;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1894.9;1808.8;2239.5;3703.7;3703.7;3617.6;3617.6;3617.6;3703.7;3703.7;3703.7;3703.7;3789.8;3789.8;3789.8;3617.6;3789.8;3789.8;3703.7	6.7	8	0.0;-14.8;14.8;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;74.2;252.2;0.0;-14.8;0.0;0.0;14.8;0.0;0.0;0.0;14.8;0.0;0.0;-29.7;29.7;0.0;-14.8
4	Waveform 1	1	1.394016696	1.581115254	1748.8	5796.6			0.187		4047.8						
4	Spectrogram 1	1	1.394016696	1.581115254	1748.8	5796.6	2411.7	3703.7	0.187	1292.0	4047.8	3617.6	2.220	2584.0;2584.0;2497.9;2497.9;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1894.9;1894.9;2239.5;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3876.0;3789.8;3703.7;3789.8	6.7	3	0.0;-14.8;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;0.0;59.4;237.4;0.0;0.0;0.0;0.0;0.0;0.0;14.8;14.8;0.0;0.0;0.0;0.0;14.8;-14.8;-14.8;14.8
5	Waveform 1	1	1.756616242	1.951565088	1723.8	5671.7			0.195		3947.9						
5	Spectrogram 1	1	1.756616242	1.951565088	1723.8	5671.7	2325.6	3617.6	0.195	1292.0	3947.9	3703.7	2.153	2239.5;2411.7;2411.7;2411.7;2411.7;2411.7;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1894.9;1894.9;1808.8;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3703.7;3703.7;3617.6;3617.6;3617.6;3703.7;3703.7;3703.7;3703.7;3703.7;3703.7;3789.8	8.1	4	29.7;0.0;0.0;0.0;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;0.0;-14.8;311.6;0.0;0.0;0.0;0.0;0.0;0.0;14.8;0.0;-14.8;0.0;0.0;14.8;0.0;0.0;0.0;0.0;0.0;14.8
