Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.240742200	0.416065324	1676.4	5962.8			0.175		4286.5						
1	Spectrogram 1	1	0.240742200	0.416065324	1676.4	5962.8	3531.4	3876.0	0.175	344.5	4286.5	3876.0	2.227	2497.9;2497.9;2411.7;2411.7;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;1808.8;1808.8;1894.9;3531.4;3531.4;3531.4;3445.3;3531.4;3617.6;3703.7;3789.8;3876.0;3876.0;3876.0;3962.1;3617.6;3876.0;3617.6;3876.0	8.5	7	0.0;-14.8;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-29.7;0.0;14.8;281.9;0.0;0.0;-14.8;14.8;14.8;14.8;14.8;14.8;0.0;0.0;14.8;-59.4;44.5;-44.5;44.5
2	Waveform 1	1	0.594674582	0.769328334	1676.4	5887.6			0.175		4211.3						
2	Spectrogram 1	1	0.594674582	0.769328334	1676.4	5887.6	3531.4	3789.8	0.175	258.4	4211.3	3617.6	2.126	2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;1981.1;1808.8;1808.8;3445.3;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3617.6;3789.8;3617.6	7.4	4	0.0;0.0;-14.8;0.0;-14.8;-14.8;0.0;-14.8;-14.8;0.0;-29.7;0.0;281.9;14.8;0.0;0.0;0.0;0.0;14.8;0.0;14.8;14.8;0.0;0.0;0.0;-29.7;29.7;-29.7
3	Waveform 1	1	0.955671062	1.132302567	1701.4	5812.4			0.177		4111.0						
3	Spectrogram 1	1	0.955671062	1.132302567	1701.4	5812.4	3531.4	3789.8	0.177	258.4	4111.0	3789.8	2.104	2497.9;2497.9;2411.7;2411.7;2411.7;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;1981.1;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3703.7;3876.0;3876.0	7.9	3	0.0;-14.8;0.0;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;0.0;-29.7;0.0;296.8;0.0;0.0;0.0;0.0;0.0;14.8;14.8;14.8;0.0;0.0;0.0;0.0;0.0;-14.8;29.7;0.0
4	Waveform 1	1	1.319052997	1.496383090	1676.4	5787.4			0.177		4111.0						
4	Spectrogram 1	1	1.319052997	1.496383090	1676.4	5787.4	3531.4	3789.8	0.177	258.4	4111.0	3789.8	1.997	2497.9;2497.9;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1894.9;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3617.6;3531.4	6.1	2	0.0;-14.8;0.0;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;0.0;296.8;0.0;0.0;0.0;0.0;0.0;14.8;14.8;14.8;0.0;0.0;0.0;0.0;0.0;-29.7;-14.8
5	Waveform 1	1	1.685886958	1.853359793	1676.4	5762.3			0.167		4085.9						
5	Spectrogram 1	1	1.685886958	1.853359793	1676.4	5762.3	3531.4	3789.8	0.167	258.4	4085.9	3789.8	2.024	2411.7;2411.7;2411.7;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1981.1;1808.8;1808.8;3531.4;3445.3;3445.3;3445.3;3445.3;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8	8.5	3	0.0;0.0;0.0;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;0.0;-29.7;0.0;296.8;-14.8;0.0;0.0;0.0;14.8;0.0;14.8;14.8;14.8;0.0;0.0;0.0;0.0;0.0;0.0
