Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.276213705	0.504390244	1189.7	6230.4			0.228		5040.7						
1	Spectrogram 1	1	0.276213705	0.504390244	1189.7	6230.4	3100.8	3962.1	0.228	861.3	5040.7	3273.0	2.859	2928.5;3186.9;2842.4;3100.8;3100.8;3100.8;3100.8;3100.8;3186.9;3273.0;3273.0;3100.8;2756.2;3014.6;3100.8;3100.8;3100.8;3186.9;3273.0;3100.8;3100.8;3273.0;4306.6;4134.4;4134.4;4134.4;3962.1;4048.2;3962.1;4048.2;3962.1;4048.2;3962.1;3962.1;3962.1;3962.1;4048.2;3962.1	4.8	44.5;-59.4;44.5;0.0;0.0;0.0;0.0;14.8;14.8;0.0;-29.7;-59.4;44.5;14.8;0.0;0.0;14.8;14.8;-29.7;0.0;29.7;178.1;-29.7;0.0;0.0;-29.7;14.8;-14.8;14.8;-14.8;14.8;-14.8;0.0;0.0;0.0;14.8;-14.8	15
2	Waveform 1	1	0.602466125	0.832644212	1095.8	6199.1			0.230		5103.3						
2	Spectrogram 1	1	0.602466125	0.832644212	1095.8	6199.1	3014.6	3962.1	0.230	947.5	5103.3	3962.1	2.687	3962.1;2842.4;3014.6;2928.5;2928.5;2928.5;3014.6;3100.8;3014.6;3014.6;3100.8;3100.8;3100.8;3014.6;3100.8;3014.6;3100.8;3014.6;3100.8;3014.6;3100.8;2928.5;4220.5;4220.5;4220.5;3962.1;3962.1;3962.1;3962.1;3962.1;3962.1;3962.1;3962.1;3962.1;3962.1;3962.1;3962.1;4048.2;4048.2	0.4	-192.9;29.7;-14.8;0.0;0.0;14.8;14.8;-14.8;0.0;14.8;0.0;0.0;-14.8;14.8;-14.8;14.8;-14.8;14.8;-14.8;14.8;-29.7;222.6;0.0;0.0;-44.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.8;0.0	17
3	Waveform 1	1	0.924715447	1.174909021	1001.9	6042.6			0.250		5040.7						
3	Spectrogram 1	1	0.924715447	1.174909021	1001.9	6042.6	2928.5	3876.0	0.250	947.5	5040.7	3100.8	2.646	2842.4;2842.4;2928.5;2928.5;2928.5;3014.6;3014.6;2928.5;2928.5;3100.8;3100.8;3100.8;3014.6;3100.8;2842.4;3100.8;3100.8;3014.6;2928.5;3100.8;2670.1;3100.8;2756.2;4220.5;4048.2;3962.1;3876.0;3876.0;3876.0;3876.0;3962.1;3962.1;3876.0;3962.1;3962.1;3962.1;3962.1;3962.1;3962.1;3876.0;3876.0;3876.0;3876.0	4.2	0.0;14.8;0.0;0.0;14.8;0.0;-14.8;0.0;29.7;0.0;0.0;-14.8;14.8;-44.5;44.5;0.0;-14.8;-14.8;29.7;-74.2;74.2;-59.4;252.2;-29.7;-14.8;-14.8;0.0;0.0;0.0;14.8;0.0;-14.8;14.8;0.0;0.0;0.0;0.0;0.0;-14.8;0.0;0.0;0.0	17
4	Waveform 1	1	1.252969415	1.481145954	1127.1	6105.2			0.228		4978.1						
4	Spectrogram 1	1	1.252969415	1.481145954	1127.1	6105.2	2928.5	3359.2	0.228	430.7	4978.1	2928.5	2.829	3962.1;2842.4;2842.4;2842.4;2928.5;2928.5;2928.5;3100.8;2928.5;2928.5;2928.5;2928.5;2928.5;2928.5;3014.6;3100.8;2842.4;2928.5;2756.2;3014.6;3100.8;3100.8;3100.8;2756.2;4220.5;4134.4;3962.1;3876.0;3876.0;3876.0;3962.1;3962.1;3876.0;3962.1;3876.0;3876.0;3876.0;3876.0;3876.0;4048.2	0.4	-192.9;0.0;0.0;14.8;0.0;0.0;29.7;-29.7;0.0;0.0;0.0;0.0;0.0;14.8;14.8;-44.5;14.8;-29.7;44.5;14.8;0.0;0.0;-59.4;252.2;-14.8;-29.7;-14.8;0.0;0.0;14.8;0.0;-14.8;14.8;-14.8;0.0;0.0;0.0;0.0;29.7	15
