Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.518359737	0.697608005	1648.8	5921.5			0.179		4272.7						
1	Spectrogram 1	1	0.518359737	0.697608005	1648.8	5921.5	3531.4	3876.0	0.179	344.5	4272.7	3876.0	2.271	2411.7;2497.9;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1894.9;1894.9;1808.8;1808.8;3445.3;3445.3;3445.3;3531.4;3531.4;3617.6;3703.7;3703.7;3789.8;3876.0;3876.0;3789.8;3876.0;3617.6;3789.8;3789.8;3789.8	8.2	6	14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;0.0;281.9;0.0;0.0;14.8;0.0;14.8;14.8;0.0;14.8;14.8;0.0;-14.8;14.8;-44.5;29.7;0.0;0.0
2	Waveform 1	1	0.876422389	1.055670657	1648.8	5796.6			0.179		4147.8						
2	Spectrogram 1	1	0.876422389	1.055670657	1648.8	5796.6	3531.4	3789.8	0.179	258.4	4147.8	3789.8	2.103	2411.7;2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2153.3;1981.1;1981.1;1894.9;1808.8;1808.8;3531.4;3445.3;3445.3;3531.4;3531.4;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3876.0;3876.0;3789.8;3789.8	7.9	4	0.0;0.0;0.0;-14.8;0.0;-14.8;-14.8;0.0;-29.7;0.0;-14.8;-14.8;0.0;296.8;-14.8;0.0;14.8;0.0;14.8;14.8;0.0;14.8;0.0;0.0;0.0;0.0;14.8;0.0;-14.8;0.0
3	Waveform 1	1	1.235371074	1.417236106	1673.8	5721.6			0.182		4047.8						
3	Spectrogram 1	1	1.235371074	1.417236106	1673.8	5721.6	3531.4	3789.8	0.182	258.4	4047.8	3789.8	2.092	2497.9;2497.9;2411.7;2411.7;2411.7;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;1808.8;3445.3;3445.3;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3617.6;3876.0;3789.8;3876.0;3703.7	6.7	6	0.0;-14.8;0.0;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;0.0;281.9;0.0;14.8;0.0;0.0;0.0;14.8;14.8;0.0;14.8;0.0;0.0;-29.7;44.5;-14.8;14.8;-29.7
4	Waveform 1	1	1.595405110	1.775961760	1648.8	5721.6			0.181		4072.8						
4	Spectrogram 1	1	1.595405110	1.775961760	1648.8	5721.6	3445.3	3703.7	0.181	258.4	4072.8	3531.4	2.149	2239.5;2411.7;2325.6;2411.7;2411.7;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;1808.8;3531.4;3531.4;3445.3;3531.4;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3531.4;3789.8;3617.6	7.9	9	29.7;-14.8;14.8;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;0.0;296.8;0.0;-14.8;14.8;0.0;0.0;14.8;14.8;14.8;0.0;0.0;0.0;0.0;-44.5;44.5;-29.7
5	Waveform 1	1	1.964697476	2.138712218	1673.8	5671.7			0.174		3997.9						
5	Spectrogram 1	1	1.964697476	2.138712218	1673.8	5671.7	2411.7	3617.6	0.174	1205.9	3997.9	3531.4	2.108	2411.7;2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;1981.1;1981.1;1894.9;1808.8;1808.8;3531.4;3531.4;3445.3;3445.3;3531.4;3531.4;3531.4;3617.6;3703.7;3703.7;3789.8;3703.7;3703.7;3531.4;3617.6;3789.8	8.5	5	0.0;0.0;0.0;-14.8;0.0;-14.8;-14.8;-29.7;0.0;-14.8;-14.8;0.0;296.8;0.0;-14.8;0.0;14.8;0.0;0.0;14.8;14.8;0.0;14.8;-14.8;0.0;-29.7;14.8;29.7
