Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.094284849	0.304101838	968.5	3661.4			0.210		2692.9						
1	Spectrogram 1	1	0.094284849	0.304101838	968.5	3661.4	2437.5	3093.8	0.210	656.2	2692.9	3093.8	2.562	2062.5;2062.5;2250.0;2250.0;2343.8;2437.5;2437.5;2343.8;2250.0;2156.2;1968.8;2343.8;2343.8;2437.5;2437.5;2343.8;2250.0;2437.5;3187.5;3187.5;3093.8;2906.2;3281.2;3000.0;3000.0;3000.0;3000.0;3093.8;3000.0;3000.0;3093.8;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;2906.2	4.2	0.0;35.2;0.0;17.6;17.6;0.0;-17.6;-17.6;-17.6;-35.2;70.3;0.0;17.6;0.0;-17.6;-17.6;35.2;140.6;0.0;-17.6;-35.2;70.3;-52.7;0.0;0.0;0.0;17.6;-17.6;0.0;17.6;-17.6;0.0;0.0;0.0;0.0;0.0;0.0;-17.6	11
3	Waveform 1	1	0.429922498	0.631771753	1015.7	3732.3			0.202		2716.5						
3	Spectrogram 1	1	0.429922498	0.631771753	1015.7	3732.3	2343.8	3000.0	0.202	656.2	2716.5	2437.5	2.355	2156.2;2343.8;2343.8;2437.5;2437.5;2437.5;2437.5;2343.8;2343.8;2156.2;2062.5;2156.2;2437.5;2343.8;2250.0;2343.8;3375.0;3375.0;3281.2;3187.5;3281.2;3187.5;3281.2;3000.0;3000.0;3000.0;3093.8;3000.0;3093.8;3000.0;3093.8;3000.0;3093.8;3000.0;3000.0;3000.0;3000.0;3000.0	4.3	35.2;0.0;17.6;0.0;0.0;0.0;-17.6;0.0;-35.2;-17.6;17.6;52.7;-17.6;-17.6;17.6;193.4;0.0;-17.6;-17.6;17.6;-17.6;17.6;-52.7;0.0;0.0;17.6;-17.6;17.6;-17.6;17.6;-17.6;17.6;-17.6;0.0;0.0;0.0;0.0	17
4	Waveform 1	1	0.770339984	0.980156972	968.5	3826.8			0.210		2858.3						
4	Spectrogram 1	1	0.770339984	0.980156972	968.5	3826.8	2343.8	3000.0	0.210	656.2	2858.3	2437.5	2.477	2343.8;2343.8;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2343.8;2250.0;2156.2;2062.5;2250.0;2156.2;2062.5;2437.5;2437.5;2437.5;2906.2;3281.2;3000.0;2906.2;3093.8;3093.8;3093.8;3093.8;3000.0;3093.8;1500.0;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;3000.0	3.2	0.0;17.6;0.0;0.0;0.0;0.0;0.0;-17.6;-17.6;-17.6;-17.6;35.2;-17.6;-17.6;70.3;0.0;0.0;87.9;70.3;-52.7;-17.6;35.2;0.0;0.0;0.0;-17.6;17.6;-298.8;298.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-17.6	11
5	Waveform 1	1	1.106362999	1.322819765	992.1	3803.1			0.216		2811.0						
5	Spectrogram 1	1	1.106362999	1.322819765	992.1	3803.1	2343.8	3000.0	0.216	656.2	2811.0	2437.5	2.439	2156.2;2343.8;2343.8;2437.5;2437.5;2437.5;2437.5;2343.8;2343.8;2156.2;2343.8;2437.5;2437.5;2437.5;2437.5;2437.5;2343.8;2437.5;2812.5;3187.5;2906.2;3187.5;1500.0;3093.8;3093.8;3093.8;3093.8;3093.8;3093.8;1500.0;3000.0;3000.0;3093.8;3093.8;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0	4.1	35.2;0.0;17.6;0.0;0.0;0.0;-17.6;0.0;-35.2;35.2;17.6;0.0;0.0;0.0;0.0;-17.6;17.6;70.3;70.3;-52.7;52.7;-316.4;298.8;0.0;0.0;0.0;0.0;0.0;-298.8;281.2;0.0;17.6;0.0;-17.6;0.0;0.0;0.0;0.0;0.0	11
6	Waveform 1	1	1.452067113	1.684459347	992.1	3850.4			0.232		2858.3						
6	Spectrogram 1	1	1.452067113	1.684459347	992.1	3850.4	2437.5	3000.0	0.232	562.5	2858.3	2437.5	2.252	2250.0;2343.8;2343.8;2437.5;2437.5;2437.5;2437.5;2343.8;2250.0;2343.8;2437.5;2437.5;2437.5;2437.5;2437.5;2343.8;3187.5;3187.5;3281.2;2906.2;3187.5;2906.2;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3093.8;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0	3.4	17.6;0.0;17.6;0.0;0.0;0.0;-17.6;-17.6;17.6;17.6;0.0;0.0;0.0;0.0;-17.6;158.2;0.0;17.6;-70.3;52.7;-52.7;17.6;0.0;0.0;0.0;0.0;0.0;0.0;17.6;-17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	9
