Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.702393564	0.794538000	2271.7	8863.4			0.092		6591.7						
1	Spectrogram 1	1	0.702393564	0.794538000	2271.7	8863.4	4781.2	5625.0	0.092	843.8	6591.7	5437.5	3.966	3750.0;3750.0;4031.2;4687.5;4875.0;5250.0;5531.2;5812.5;5812.5;5812.5;5625.0;5437.5;5343.8;4968.8;4687.5;5625.0;4968.8	14.3	0.0;52.7;123.0;35.2;70.3;52.7;52.7;0.0;0.0;-35.2;-35.2;-17.6;-70.3;-52.7;175.8;-123.0	3
2	Waveform 1	1	1.012664592	1.103627689	1904.2	7910.5			0.091		6006.3						
2	Spectrogram 1	1	1.012664592	1.103627689	1904.2	7910.5	4593.8	5062.5	0.091	468.8	6006.3	4593.8	3.439	2531.2;4500.0;4593.8;4687.5;4875.0;5156.2;5156.2;5156.2;5062.5;5062.5;4875.0;4593.8;5156.2;5156.2;4687.5;4968.8	30.5	369.1;17.6;17.6;35.2;52.7;0.0;0.0;-17.6;0.0;-35.2;-52.7;105.5;0.0;-87.9;52.7	4
3	Waveform 1	1	1.314710943	1.399640663	1536.7	6881.8			0.085		5345.1						
3	Spectrogram 1	1	1.314710943	1.399640663	1536.7	6881.8	4406.2	4593.8	0.085	187.5	5345.1	4593.8	2.966	4031.2;4125.0;4312.5;4406.2;4500.0;4593.8;4593.8;4687.5;4500.0;4593.8;4593.8;4593.8;4125.0;4406.2;4500.0	6.3	17.6;35.2;17.6;17.6;17.6;0.0;17.6;-35.2;17.6;0.0;0.0;-87.9;52.7;17.6	4
4	Waveform 1	1	1.624784510	1.739374386	1403.1	6247.0			0.115		4844.0						
4	Spectrogram 1	1	1.624784510	1.739374386	1403.1	6247.0	3937.5	4125.0	0.115	187.5	4844.0	4125.0	3.105	3656.2;3656.2;3656.2;3843.8;3937.5;4031.2;4031.2;4125.0;4125.0;4125.0;4125.0;4031.2;4031.2;3937.5;3937.5;3750.0;4125.0;4593.8;4031.2;2437.5;2531.2	-10.5	0.0;0.0;35.2;17.6;17.6;0.0;17.6;0.0;0.0;0.0;-17.6;0.0;-17.6;0.0;-35.2;70.3;87.9;-105.5;-298.8;17.6	4
