Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.238125437	0.423915613	1651.3	5887.6			0.186		4236.3						
1	Spectrogram 1	1	0.238125437	0.423915613	1651.3	5887.6	3445.3	3876.0	0.186	430.7	4236.3	3876.0	2.096	2497.9;2411.7;2411.7;2411.7;2411.7;2239.5;2153.3;2067.2;1981.1;1981.1;1808.8;1808.8;1722.7;3445.3;3445.3;3445.3;3445.3;3531.4;3617.6;3703.7;3789.8;3876.0;3876.0;3876.0;3876.0;3789.8;3789.8;3876.0;3876.0;3876.0;3876.0	7.9	3	-14.8;0.0;0.0;0.0;-29.7;-14.8;-14.8;-14.8;0.0;-29.7;0.0;-14.8;296.8;0.0;0.0;0.0;14.8;14.8;14.8;14.8;14.8;0.0;0.0;0.0;-14.8;0.0;14.8;0.0;0.0;0.0
2	Waveform 1	1	0.601855500	0.783720531	1651.3	5737.2			0.182		4085.9						
2	Spectrogram 1	1	0.601855500	0.783720531	1651.3	5737.2	3445.3	3703.7	0.182	258.4	4085.9	3531.4	2.014	2411.7;2325.6;2411.7;2411.7;2325.6;2239.5;2239.5;2067.2;2067.2;1981.1;1894.9;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3703.7;3617.6;3617.6;3789.8;3789.8;3703.7	7.4	6	-14.8;14.8;0.0;-14.8;-14.8;0.0;-29.7;0.0;-14.8;-14.8;-14.8;0.0;296.8;0.0;0.0;0.0;0.0;0.0;14.8;14.8;14.8;0.0;0.0;0.0;-14.8;-14.8;0.0;29.7;0.0;-14.8
3	Waveform 1	1	0.955118510	1.144833831	1676.4	5737.2			0.190		4060.9						
3	Spectrogram 1	1	0.955118510	1.144833831	1676.4	5737.2	2411.7	3617.6	0.190	1205.9	4060.9	3531.4	2.181	2325.6;2325.6;2325.6;2325.6;2325.6;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;1722.7;3531.4;3445.3;3445.3;3445.3;3531.4;3531.4;3531.4;3703.7;3703.7;3789.8;3789.8;3789.8;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8	7.9	5	0.0;0.0;0.0;0.0;0.0;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;311.6;-14.8;0.0;0.0;14.8;0.0;0.0;29.7;0.0;14.8;0.0;0.0;-14.8;14.8;0.0;0.0;0.0;0.0
4	Waveform 1	1	1.322454108	1.508244284	1651.3	5762.3			0.186		4111.0						
4	Spectrogram 1	1	1.322454108	1.508244284	1651.3	5762.3	2411.7	3617.6	0.186	1205.9	4111.0	3531.4	2.189	2411.7;2411.7;2325.6;2411.7;2411.7;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;1894.9;1808.8;1722.7;3531.4;3445.3;3445.3;3445.3;3531.4;3531.4;3531.4;3617.6;3703.7;3703.7;3789.8;3876.0;3703.7;3703.7;3531.4;3789.8;3789.8;3789.8	7.7	7	0.0;-14.8;14.8;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;311.6;-14.8;0.0;0.0;14.8;0.0;0.0;14.8;14.8;0.0;14.8;14.8;-29.7;0.0;-29.7;44.5;0.0;0.0
5	Waveform 1	1	1.691417697	1.882441399	1651.3	5662.0			0.191		4010.7						
5	Spectrogram 1	1	1.691417697	1.882441399	1651.3	5662.0	2411.7	3617.6	0.191	1205.9	4010.7	3617.6	2.084	2325.6;2325.6;2325.6;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1808.8;1722.7;1722.7;3445.3;3445.3;3445.3;3445.3;3445.3;3531.4;3617.6;3703.7;3703.7;3703.7;3789.8;3703.7;3703.7;3531.4;3703.7;3703.7;3703.7;3703.7;3703.7	7.4	4	0.0;0.0;14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;296.8;0.0;0.0;0.0;0.0;14.8;14.8;14.8;0.0;0.0;14.8;-14.8;0.0;-29.7;29.7;0.0;0.0;0.0;0.0
