Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.066765350	0.264158558	1002.2	4944.2			0.197		3942.0						
1	Spectrogram 1	1	0.066765350	0.264158558	1002.2	4944.2	2812.5	3750.0	0.197	937.5	3942.0	3187.5	2.210	2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;2812.5;3000.0;3000.0;3187.5;3187.5;3187.5;3000.0;3375.0;3375.0;3375.0;3375.0;3750.0;3375.0;3375.0;3750.0;3000.0;3937.5;3187.5;3375.0;3937.5;4125.0;4125.0;3937.5;4125.0;4125.0;3937.5;4125.0;4125.0;4125.0;3187.5;2812.5;3187.5;3562.5;3937.5;4125.0;3937.5;3750.0;3750.0;3562.5;3750.0;3562.5;3937.5;3562.5;3562.5;3562.5;3562.5;3562.5;4125.0;3750.0;3750.0;3750.0;3937.5	8.8	70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;70.3;0.0;0.0;-70.3;140.6;0.0;0.0;0.0;140.6;-140.6;0.0;140.6;-281.2;351.6;-281.2;70.3;210.9;70.3;0.0;-70.3;70.3;0.0;-70.3;70.3;0.0;0.0;-351.6;-140.6;140.6;140.6;140.6;70.3;-70.3;-70.3;0.0;-70.3;70.3;-70.3;140.6;-140.6;0.0;0.0;0.0;0.0;210.9;-140.6;0.0;0.0;70.3	24
2	Waveform 1	1	0.451391821	0.669104918	1002.2	5144.6			0.218		4142.4						
2	Spectrogram 1	1	0.451391821	0.669104918	1002.2	5144.6	2812.5	3750.0	0.218	937.5	4142.4	3187.5	2.193	2250.0;2250.0;2250.0;2062.5;2250.0;2250.0;2250.0;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3000.0;3187.5;3187.5;3375.0;2812.5;3375.0;3375.0;3375.0;3562.5;3562.5;3750.0;3937.5;3750.0;3750.0;3375.0;3562.5;3000.0;3937.5;3187.5;3375.0;3937.5;4125.0;3375.0;3750.0;3937.5;4125.0;4125.0;4125.0;3375.0;3562.5;4125.0;4125.0;3937.5;3750.0;3750.0;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0;3562.5;3750.0;3750.0;3750.0;3750.0;3750.0;3562.5;3750.0;3937.5	8.0	0.0;0.0;-70.3;70.3;0.0;0.0;70.3;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;70.3;-210.9;210.9;0.0;0.0;70.3;0.0;70.3;70.3;-70.3;0.0;-140.6;70.3;-210.9;351.6;-281.2;70.3;210.9;70.3;-281.2;140.6;70.3;70.3;0.0;0.0;-281.2;70.3;210.9;0.0;-70.3;-70.3;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;0.0;-70.3;70.3;70.3	21
3	Waveform 1	1	0.836215208	1.049574043	1002.2	4877.4			0.213		3875.2						
3	Spectrogram 1	1	0.836215208	1.049574043	1002.2	4877.4	2812.5	3562.5	0.213	750.0	3875.2	2812.5	2.230	3187.5;2062.5;2250.0;3562.5;2250.0;2250.0;2250.0;2250.0;2437.5;2437.5;2250.0;2625.0;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3000.0;3187.5;3000.0;3187.5;3375.0;2812.5;3375.0;3375.0;3562.5;3562.5;3750.0;3750.0;3750.0;3000.0;3937.5;3375.0;3937.5;3375.0;3937.5;3187.5;3937.5;4125.0;4125.0;3937.5;3937.5;4125.0;4125.0;3937.5;3937.5;3375.0;3937.5;3937.5;3750.0;3750.0;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0;3750.0;3750.0;3562.5	1.8	-421.9;70.3;492.2;-492.2;0.0;0.0;0.0;70.3;0.0;-70.3;140.6;-70.3;0.0;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;70.3;-70.3;70.3;70.3;-210.9;210.9;0.0;70.3;0.0;70.3;0.0;0.0;-281.2;351.6;-210.9;210.9;-210.9;210.9;-281.2;281.2;70.3;0.0;-70.3;0.0;70.3;0.0;-70.3;0.0;-210.9;210.9;0.0;-70.3;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;-70.3	26
4	Waveform 1	1	1.230479649	1.440935643	1035.6	4777.1			0.210		3741.5						
4	Spectrogram 1	1	1.230479649	1.440935643	1035.6	4777.1	2812.5	3562.5	0.210	750.0	3741.5	2625.0	2.058	2250.0;2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3000.0;3187.5;3000.0;3000.0;3187.5;3187.5;3187.5;3375.0;3187.5;3375.0;3375.0;3750.0;3375.0;3937.5;3187.5;3187.5;3937.5;3937.5;3375.0;4125.0;3937.5;3937.5;3937.5;4125.0;3937.5;4125.0;4125.0;4125.0;4125.0;4125.0;3937.5;3750.0;3750.0;3750.0;3750.0;3562.5;3562.5;3937.5;3937.5;3562.5;3562.5;3562.5;3562.5;3375.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5	6.3	0.0;0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;70.3;-70.3;0.0;70.3;0.0;0.0;70.3;-70.3;70.3;0.0;140.6;-140.6;210.9;-281.2;0.0;281.2;0.0;-210.9;281.2;-70.3;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;0.0;-70.3;-70.3;0.0;0.0;0.0;-70.3;0.0;140.6;0.0;-140.6;0.0;0.0;0.0;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	18
5	Waveform 1	1	1.615641781	1.831903457	1035.6	4643.5			0.216		3607.9						
5	Spectrogram 1	1	1.615641781	1.831903457	1035.6	4643.5	2812.5	3562.5	0.216	750.0	3607.9	2625.0	2.133	3562.5;3562.5;3562.5;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;3000.0;2812.5;3000.0;3000.0;3000.0;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3187.5;3375.0;3562.5;3375.0;3375.0;3187.5;3000.0;3750.0;3937.5;3375.0;3937.5;3937.5;3937.5;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;3937.5;3750.0;3750.0;3750.0;3562.5;3562.5;3750.0;3937.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0;3562.5;4125.0;3562.5;3562.5	0.0	0.0;0.0;-492.2;0.0;70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;-70.3;70.3;70.3;-70.3;0.0;-70.3;-70.3;281.2;70.3;-210.9;210.9;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;-70.3;0.0;0.0;-70.3;0.0;70.3;70.3;-140.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;210.9;-210.9;0.0	16
