Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.290124062	0.523040562	2086.5	4330.6			0.233		2244.1						
1	Spectrogram 1	1	0.290124062	0.523040562	2086.5	4330.6	3000.0	3843.8	0.233	843.8	2244.1	3750.0	3.206	2437.5;2531.2;2625.0;2718.8;2718.8;2718.8;2812.5;2812.5;2906.2;2906.2;2906.2;3093.8;3000.0;3281.2;3468.8;3562.5;3000.0;3375.0;4031.2;4031.2;3187.5;4125.0;4031.2;4125.0;4125.0;4031.2;3937.5;4031.2;3843.8;3750.0;3750.0;3843.8;3000.0;3843.8;3750.0;3843.8;4125.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0	5.9	17.6;17.6;17.6;0.0;0.0;17.6;0.0;17.6;0.0;0.0;35.2;-17.6;52.7;35.2;17.6;-105.5;70.3;123.0;0.0;-158.2;175.8;-17.6;17.6;0.0;-17.6;-17.6;17.6;-35.2;-17.6;0.0;17.6;-158.2;158.2;-17.6;17.6;52.7;-70.3;0.0;0.0;0.0;0.0;0.0	17
2	Waveform 1	1	0.695658854	0.924489100	2133.7	4401.5			0.229		2267.7						
2	Spectrogram 1	1	0.695658854	0.924489100	2133.7	4401.5	2906.2	3843.8	0.229	937.5	2267.7	3187.5	3.343	2343.8;2437.5;2437.5;2531.2;2531.2;2625.0;2625.0;2812.5;2812.5;2812.5;3000.0;3000.0;3093.8;3187.5;3281.2;3093.8;3562.5;3843.8;3375.0;4031.2;4125.0;3562.5;4031.2;4218.8;3468.8;4218.8;4218.8;4031.2;4218.8;3843.8;3750.0;3750.0;3843.8;3750.0;3750.0;3656.2;3843.8;3750.0;3750.0;3562.5;3750.0;3656.2;3093.8	3.3	17.6;0.0;17.6;0.0;17.6;0.0;35.2;0.0;0.0;35.2;0.0;17.6;17.6;17.6;-35.2;87.9;52.7;-87.9;123.0;17.6;-105.5;87.9;35.2;-140.6;140.6;0.0;-35.2;35.2;-70.3;-17.6;0.0;17.6;-17.6;0.0;-17.6;35.2;-17.6;0.0;-35.2;35.2;-17.6;-105.5	17
3	Waveform 1	1	1.090404251	1.321958667	2228.2	4377.8			0.232		2149.6						
3	Spectrogram 1	1	1.090404251	1.321958667	2228.2	4377.8	2906.2	3750.0	0.232	843.8	2149.6	3093.8	2.917	2437.5;2531.2;2531.2;2718.8;2718.8;2718.8;2812.5;2812.5;2906.2;2718.8;3000.0;3093.8;3093.8;3187.5;3281.2;3281.2;3468.8;3375.0;3187.5;4031.2;4125.0;3281.2;4125.0;4218.8;3000.0;3000.0;4218.8;4218.8;3843.8;3843.8;3750.0;3843.8;3750.0;3750.0;3843.8;3750.0;4125.0;3750.0;3750.0;4218.8;3656.2;3656.2	5.6	17.6;0.0;35.2;0.0;0.0;17.6;0.0;17.6;-35.2;52.7;17.6;0.0;17.6;17.6;0.0;35.2;-17.6;-35.2;158.2;17.6;-158.2;158.2;17.6;-228.5;0.0;228.5;0.0;-70.3;0.0;-17.6;17.6;-17.6;0.0;17.6;-17.6;70.3;-70.3;0.0;87.9;-105.5;0.0	17
4	Waveform 1	1	1.483988682	1.714181013	2157.4	4307.0			0.230		2149.6						
4	Spectrogram 1	1	1.483988682	1.714181013	2157.4	4307.0	2906.2	3656.2	0.230	750.0	2149.6	2812.5	2.773	2437.5;2437.5;2437.5;2625.0;2625.0;2718.8;2812.5;2812.5;2812.5;2906.2;2812.5;3000.0;3093.8;3093.8;3187.5;3281.2;3375.0;3468.8;3468.8;4031.2;4031.2;3281.2;3281.2;4125.0;4218.8;3093.8;4125.0;4125.0;3937.5;3843.8;3750.0;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3656.2;3750.0	6.0	0.0;0.0;35.2;0.0;17.6;17.6;0.0;0.0;17.6;-17.6;35.2;17.6;0.0;17.6;17.6;17.6;17.6;0.0;105.5;0.0;-140.6;0.0;158.2;17.6;-210.9;193.4;0.0;-35.2;-17.6;-17.6;0.0;-35.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.6;17.6	8
