Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.141997290	0.362407406	2267.7	4346.5			0.220		2078.7						
1	Spectrogram 1	1	0.141997290	0.362407406	2267.7	4346.5	2906.2	3562.5	0.220	656.2	2078.7	3187.5	3.358	2625.0;2625.0;2531.2;2718.8;2812.5;2812.5;3000.0;3000.0;3187.5;3187.5;3281.2;3281.2;3281.2;2812.5;3093.8;3187.5;3093.8;3000.0;3187.5;2906.2;3093.8;3093.8;3000.0;2906.2;3750.0;3750.0;3656.2;3750.0;3093.8;3093.8;3000.0;3656.2;3000.0;3656.2;3656.2;3656.2;3656.2;3750.0;3187.5;3656.2	5.0	0.0;-17.6;35.2;17.6;0.0;35.2;0.0;35.2;0.0;17.6;0.0;0.0;-87.9;52.7;17.6;-17.6;-17.6;35.2;-52.7;35.2;0.0;-17.6;-17.6;158.2;0.0;-17.6;17.6;-123.0;0.0;-17.6;123.0;-123.0;123.0;0.0;0.0;0.0;17.6;-105.5;87.9	17
2	Waveform 1	1	0.536108354	0.786822319	2055.1	4346.5			0.251		2291.3						
2	Spectrogram 1	1	0.536108354	0.786822319	2055.1	4346.5	3000.0	3562.5	0.251	562.5	2291.3	3281.2	3.324	2343.8;2343.8;3000.0;3000.0;3093.8;2531.2;2718.8;2718.8;2718.8;2812.5;3000.0;2812.5;2625.0;3000.0;3093.8;3281.2;3375.0;3281.2;3000.0;3562.5;3000.0;3187.5;3187.5;4125.0;3656.2;3093.8;3562.5;4125.0;4218.8;4218.8;4125.0;3750.0;3750.0;3656.2;3562.5;3562.5;3562.5;3562.5;3656.2;3562.5;3562.5;3562.5;3562.5;3562.5;3468.8;3656.2;3750.0	5.7	0.0;123.0;0.0;17.6;-105.5;35.2;0.0;0.0;17.6;35.2;-35.2;-35.2;70.3;17.6;35.2;17.6;-17.6;-52.7;105.5;-105.5;35.2;0.0;175.8;-87.9;-105.5;87.9;105.5;17.6;0.0;-17.6;-70.3;0.0;-17.6;-17.6;0.0;0.0;0.0;17.6;-17.6;0.0;0.0;0.0;0.0;-17.6;35.2;17.6	14
3	Waveform 1	1	0.919937761	1.187292034	2031.5	4204.7			0.267		2173.2						
3	Spectrogram 1	1	0.919937761	1.187292034	2031.5	4204.7	2812.5	3656.2	0.267	843.8	2173.2	3281.2	3.083	3562.5;2250.0;2250.0;2437.5;2531.2;2531.2;2531.2;2718.8;2718.8;2812.5;2812.5;2718.8;2812.5;2906.2;2906.2;2906.2;3187.5;3281.2;3281.2;3281.2;3843.8;2906.2;2906.2;3187.5;3093.8;2906.2;4031.2;4031.2;4031.2;4031.2;3843.8;3843.8;3750.0;3750.0;3656.2;3656.2;3750.0;3656.2;3656.2;3656.2;3656.2;3656.2;3000.0;3750.0;3656.2;3656.2;3656.2;3656.2;4031.2	1.8	-246.1;0.0;35.2;17.6;0.0;0.0;35.2;0.0;17.6;0.0;-17.6;17.6;17.6;0.0;0.0;52.7;17.6;0.0;0.0;105.5;-175.8;0.0;52.7;-17.6;-35.2;210.9;0.0;0.0;0.0;-35.2;0.0;-17.6;0.0;-17.6;0.0;17.6;-17.6;0.0;0.0;0.0;0.0;-123.0;140.6;-17.6;0.0;0.0;0.0;70.3	13
4	Waveform 1	1	1.314997245	1.553508318	2149.6	4346.5			0.239		2196.9						
4	Spectrogram 1	1	1.314997245	1.553508318	2149.6	4346.5	2906.2	3750.0	0.239	843.8	2196.9	3281.2	3.205	3468.8;2343.8;2343.8;2531.2;2625.0;2531.2;2718.8;2718.8;2812.5;2718.8;2812.5;2812.5;3000.0;2906.2;3000.0;3281.2;3187.5;3281.2;3281.2;2906.2;3937.5;4125.0;4031.2;4125.0;3187.5;4218.8;3093.8;4218.8;4218.8;4218.8;4218.8;4218.8;4218.8;3656.2;3656.2;4125.0;4125.0;3656.2;3562.5;3562.5;3750.0;3562.5;3562.5;2812.5	-2.9	-210.9;0.0;35.2;17.6;-17.6;35.2;0.0;17.6;-17.6;17.6;0.0;35.2;-17.6;17.6;52.7;-17.6;17.6;0.0;-70.3;193.4;35.2;-17.6;17.6;-175.8;193.4;-210.9;210.9;0.0;0.0;0.0;0.0;0.0;-105.5;0.0;87.9;0.0;-87.9;-17.6;0.0;35.2;-35.2;0.0;-140.6	22
5	Waveform 1	1	1.743060857	2.003759007	2007.9	4322.8			0.261		2315.0						
5	Spectrogram 1	1	1.743060857	2.003759007	2007.9	4322.8	3000.0	3656.2	0.261	656.2	2315.0	3093.8	2.977	2156.2;2156.2;2437.5;2531.2;2531.2;2625.0;2531.2;2625.0;2625.0;2718.8;2718.8;2906.2;2625.0;3000.0;3093.8;3093.8;3281.2;3375.0;3281.2;3375.0;3281.2;2718.8;3937.5;2718.8;2718.8;4031.2;4031.2;2812.5;4031.2;4031.2;3937.5;3843.8;3656.2;3656.2;3656.2;3656.2;3750.0;3843.8;3656.2;3656.2;3656.2;3656.2;3843.8;3937.5;3937.5;3656.2;3656.2;3656.2	6.0	0.0;52.7;17.6;0.0;17.6;-17.6;17.6;0.0;17.6;0.0;35.2;-52.7;70.3;17.6;0.0;35.2;17.6;-17.6;17.6;-17.6;-105.5;228.5;-228.5;0.0;246.1;0.0;-228.5;228.5;0.0;-17.6;-17.6;-35.2;0.0;0.0;0.0;17.6;17.6;-35.2;0.0;0.0;0.0;35.2;17.6;0.0;-52.7;0.0;0.0	17
