Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.261973418	0.396124058	1748.0	4204.7			0.134		2456.7						
1	Spectrogram 1	1	0.261973418	0.396124058	1748.0	4204.7	2343.8	2625.0	0.134	281.2	2456.7	2437.5	2.727	2625.0;2343.8;2156.2;2156.2;2156.2;2156.2;2343.8;2437.5;2531.2;2718.8;2718.8;2718.8;2531.2;2531.2;2437.5;2343.8;2250.0;2156.2;2531.2;2343.8;2718.8;2718.8;2625.0;2437.5	-1.5	-52.7;-35.2;0.0;0.0;0.0;35.2;17.6;17.6;35.2;0.0;0.0;-35.2;0.0;-17.6;-17.6;-17.6;-17.6;70.3;-35.2;70.3;0.0;-17.6;-35.2	6
2	Waveform 1	1	0.491041963	0.630254891	1913.4	4228.3			0.139		2315.0						
2	Spectrogram 1	1	0.491041963	0.630254891	1913.4	4228.3	2343.8	2718.8	0.139	375.0	2315.0	2718.8	2.482	2718.8;2343.8;2343.8;2250.0;2343.8;2250.0;2343.8;2437.5;2437.5;2531.2;2718.8;2718.8;2718.8;2718.8;2531.2;2531.2;2437.5;2343.8;2250.0;2718.8;2718.8;2437.5;2250.0;2250.0;2718.8;2812.5	0.7	-70.3;0.0;-17.6;17.6;-17.6;17.6;17.6;0.0;17.6;35.2;0.0;0.0;0.0;-35.2;0.0;-17.6;-17.6;-17.6;87.9;0.0;-52.7;-35.2;0.0;87.9;17.6	7
3	Waveform 1	1	0.726402420	0.832710474	1937.0	4063.0			0.106		2126.0						
3	Spectrogram 1	1	0.726402420	0.832710474	1937.0	4063.0	2343.8	2625.0	0.106	281.2	2126.0	2718.8	2.491	2625.0;2625.0;2343.8;2250.0;2250.0;2343.8;2343.8;2437.5;2531.2;2625.0;2718.8;2718.8;2718.8;2625.0;2437.5;2343.8;2343.8;2250.0;1968.8;2531.2	-0.9	0.0;-52.7;-17.6;0.0;17.6;0.0;17.6;17.6;17.6;17.6;0.0;0.0;-17.6;-35.2;-17.6;0.0;-17.6;-52.7;105.5	3
4	Waveform 1	1	1.903516195	2.030073402	1842.5	4086.6			0.127		2244.1						
4	Spectrogram 1	1	1.903516195	2.030073402	1842.5	4086.6	2437.5	2718.8	0.127	281.2	2244.1	2718.8	2.442	2906.2;2343.8;2343.8;2343.8;2343.8;2343.8;2437.5;2437.5;2531.2;2625.0;2718.8;2718.8;2718.8;2718.8;2531.2;2437.5;2437.5;2343.8;2250.0;2156.2;2625.0;2906.2;2812.5	-0.8	-105.5;0.0;0.0;0.0;0.0;17.6;0.0;17.6;17.6;17.6;0.0;0.0;0.0;-35.2;-17.6;0.0;-17.6;-17.6;-17.6;87.9;52.7;-17.6	4
5	Waveform 1	1	2.135243705	2.270659916	1795.3	4133.9			0.135		2338.6						
5	Spectrogram 1	1	2.135243705	2.270659916	1795.3	4133.9	2343.8	2625.0	0.135	281.2	2338.6	2437.5	2.459	2625.0;2625.0;2343.8;2250.0;2343.8;2250.0;2343.8;2343.8;2531.2;2531.2;2625.0;2718.8;2718.8;2625.0;2531.2;2437.5;2343.8;2250.0;2250.0;2625.0;2531.2;2343.8;2343.8;2250.0;2625.0	0.0	0.0;-52.7;-17.6;17.6;-17.6;17.6;0.0;35.2;0.0;17.6;17.6;0.0;-17.6;-17.6;-17.6;-17.6;-17.6;0.0;70.3;-17.6;-35.2;0.0;-17.6;70.3	7
