Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.401673127	0.523352608	2252.9	3807.1			0.122		1554.2						
1	Spectrogram 1	1	0.401673127	0.523352608	2252.9	3807.1	2842.4	3531.4	0.122	689.1	1554.2	3531.4	1.649	2411.7;2497.9;2584.0;2584.0;2670.1;2670.1;2842.4;2928.5;3014.6;3100.8;3273.0;3359.2;3445.3;3531.4;3617.6;3617.6;3617.6;3617.6;3531.4;3531.4	10.2	1	14.8;14.8;0.0;14.8;0.0;29.7;14.8;14.8;14.8;29.7;14.8;14.8;14.8;14.8;0.0;0.0;0.0;-14.8;0.0
2	Waveform 1	1	0.886322479	1.011927105	2202.8	3782.0			0.126		1579.2						
2	Spectrogram 1	1	0.886322479	1.011927105	2202.8	3782.0	2756.2	3531.4	0.126	775.2	1579.2	3014.6	1.704	2411.7;2411.7;2497.9;2584.0;2584.0;2670.1;2670.1;2842.4;2928.5;3014.6;3014.6;3100.8;3273.0;3359.2;3531.4;3531.4;3617.6;3531.4;3531.4;3531.4;3445.3	8.9	1	0.0;14.8;14.8;0.0;14.8;0.0;29.7;14.8;14.8;0.0;14.8;29.7;14.8;29.7;0.0;14.8;-14.8;0.0;0.0;-14.8
3	Waveform 1	1	1.364673381	1.487661244	2227.8	3807.1			0.123		1579.2						
3	Spectrogram 1	1	1.364673381	1.487661244	2227.8	3807.1	2756.2	3445.3	0.123	689.1	1579.2	3531.4	1.767	2497.9;2411.7;2497.9;2584.0;2670.1;2670.1;2756.2;2842.4;2928.5;3014.6;3100.8;3186.9;3359.2;3445.3;3531.4;3531.4;3617.6;3531.4;3273.0;3445.3;3359.2	7.4	4	-14.8;14.8;14.8;14.8;0.0;14.8;14.8;14.8;14.8;14.8;14.8;29.7;14.8;14.8;0.0;14.8;-14.8;-44.5;29.7;-14.8
4	Waveform 1	1	1.841117468	1.969338857	2227.8	3782.0			0.128		1554.2						
4	Spectrogram 1	1	1.841117468	1.969338857	2227.8	3782.0	2756.2	3359.2	0.128	602.9	1554.2	3014.6	1.658	2411.7;2411.7;2411.7;2497.9;2584.0;2670.1;2670.1;2756.2;2842.4;2928.5;3014.6;3100.8;3273.0;3359.2;3359.2;3445.3;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6	9.9	0	0.0;0.0;14.8;14.8;14.8;0.0;14.8;14.8;14.8;14.8;14.8;29.7;14.8;0.0;14.8;14.8;0.0;0.0;0.0;0.0;14.8
5	Waveform 1	1	2.344327618	2.477782534	2227.8	3706.8			0.133		1479.0						
5	Spectrogram 1	1	2.344327618	2.477782534	2227.8	3706.8	2756.2	3445.3	0.133	689.1	1479.0	3531.4	1.696	2411.7;2411.7;2497.9;2584.0;2670.1;2670.1;2756.2;2842.4;2928.5;3014.6;3100.8;3186.9;3273.0;3359.2;3445.3;3531.4;3531.4;3531.4;3445.3;3186.9;3531.4;3531.4	9.2	2	0.0;14.8;14.8;14.8;0.0;14.8;14.8;14.8;14.8;14.8;14.8;14.8;14.8;14.8;14.8;0.0;0.0;-14.8;-44.5;59.4;0.0
6	Waveform 1	1	2.852284380	2.985739295	2202.8	3581.5			0.133		1378.7						
6	Spectrogram 1	1	2.852284380	2.985739295	2202.8	3581.5	2670.1	3186.9	0.133	516.8	1378.7	2842.4	1.747	2411.7;2411.7;2497.9;2584.0;2670.1;2670.1;2756.2;2842.4;2842.4;2928.5;3014.6;3186.9;3273.0;3359.2;3359.2;3359.2;3359.2;3359.2;3273.0;3186.9;3359.2;3359.2	7.8	2	0.0;14.8;14.8;14.8;0.0;14.8;14.8;0.0;14.8;14.8;29.7;14.8;14.8;0.0;0.0;0.0;0.0;-14.8;-14.8;29.7;0.0
