Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.327095380	0.499801741	1798.7	5721.6			0.173		3922.9						
1	Spectrogram 1	1	0.327095380	0.499801741	1798.7	5721.6	2584.0	3876.0	0.173	1292.0	3922.9	3876.0	2.118	2584.0;2584.0;2497.9;2497.9;2411.7;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;2067.2;1981.1;3789.8;3789.8;3789.8;3789.8;3703.7;3789.8;3789.8;3876.0;3876.0;3789.8;3876.0;3876.0;3962.1;3876.0;3876.0;3876.0	7.9	8	0.0;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;14.8;-14.8;311.6;0.0;0.0;0.0;-14.8;14.8;0.0;14.8;0.0;-14.8;14.8;0.0;14.8;-14.8;0.0;0.0
2	Waveform 1	1	0.689517062	0.875307238	1773.7	5796.6			0.186		4022.9						
2	Spectrogram 1	1	0.689517062	0.875307238	1773.7	5796.6	2497.9	3876.0	0.186	1378.1	4022.9	3876.0	2.114	2584.0;2497.9;2497.9;2497.9;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1894.9;1894.9;2153.3;3789.8;3703.7;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3876.0;3876.0;3876.0;3789.8;3876.0;3876.0;3789.8;3876.0	7.4	7	-14.8;0.0;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;0.0;44.5;281.9;-14.8;0.0;0.0;14.8;0.0;0.0;0.0;14.8;0.0;0.0;-14.8;14.8;0.0;-14.8;14.8
3	Waveform 1	1	1.045396835	1.228570248	1773.7	5746.6			0.183		3972.9						
3	Spectrogram 1	1	1.045396835	1.228570248	1773.7	5746.6	2325.6	3703.7	0.183	1378.1	3972.9	2411.7	2.236	2497.9;2497.9;2411.7;2497.9;2497.9;2411.7;2411.7;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1894.9;1894.9;2153.3;3703.7;3703.7;3703.7;3617.6;3703.7;3703.7;3703.7;3703.7;3703.7;3789.8;3789.8;3789.8;3617.6;3789.8;3789.8	7.4	7	0.0;-14.8;14.8;0.0;-14.8;0.0;-29.7;0.0;-14.8;-14.8;-14.8;-14.8;0.0;0.0;44.5;267.1;0.0;0.0;-14.8;14.8;0.0;0.0;0.0;0.0;14.8;0.0;0.0;-29.7;29.7;0.0
4	Waveform 1	1	1.414616700	1.601715257	1773.7	5846.6			0.187		4072.8						
4	Spectrogram 1	1	1.414616700	1.601715257	1773.7	5846.6	2411.7	3789.8	0.187	1378.1	4072.8	3789.8	2.247	2497.9;2411.7;2497.9;2411.7;2497.9;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1894.9;1981.1;2153.3;3789.8;3703.7;3703.7;3703.7;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8	7.2	7	-14.8;14.8;-14.8;14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;14.8;29.7;281.9;-14.8;0.0;0.0;0.0;0.0;14.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5	Waveform 1	1	1.781062480	1.959002367	1748.8	5746.6			0.178		3997.9						
5	Spectrogram 1	1	1.781062480	1.959002367	1748.8	5746.6	2411.7	3703.7	0.178	1292.0	3997.9	3617.6	2.409	2497.9;2497.9;2411.7;2411.7;2497.9;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1894.9;1981.1;2239.5;3703.7;3703.7;3617.6;3617.6;3617.6;3617.6;3617.6;3703.7;3789.8;3789.8;3789.8;3703.7;3789.8;3789.8;3617.6	6.4	8	0.0;-14.8;0.0;14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;14.8;44.5;252.2;0.0;-14.8;0.0;0.0;0.0;0.0;14.8;14.8;0.0;0.0;-14.8;14.8;0.0;-29.7
6	Waveform 1	1	2.159184740	2.343356168	1623.8	5771.6			0.184		4147.8						
6	Spectrogram 1	1	2.159184740	2.343356168	1623.8	5771.6	2325.6	3703.7	0.184	1378.1	4147.8	3617.6	2.237	2411.7;2411.7;2411.7;2411.7;2411.7;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1894.9;1894.9;1808.8;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3703.7;3789.8;3789.8;3876.0;3789.8;3789.8;3876.0;3789.8;3789.8;3789.8	7.9	4	0.0;0.0;0.0;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;0.0;-14.8;311.6;0.0;0.0;0.0;0.0;0.0;0.0;14.8;14.8;0.0;14.8;-14.8;0.0;14.8;-14.8;0.0;0.0
