Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.632177709	0.815351122	1673.8	5921.5			0.183		4247.7						
1	Spectrogram 1	1	0.632177709	0.815351122	1673.8	5921.5	3445.3	3789.8	0.183	344.5	4247.7	3789.8	2.139	2497.9;2497.9;2497.9;2411.7;2411.7;2325.6;2325.6;2239.5;2067.2;2067.2;1894.9;1894.9;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3962.1;3876.0;3962.1;3876.0;3876.0;3876.0;3876.0;3876.0	7.9	4	0.0;0.0;-14.8;0.0;-14.8;0.0;-14.8;-29.7;0.0;-29.7;0.0;-14.8;296.8;0.0;0.0;0.0;0.0;14.8;14.8;14.8;0.0;0.0;29.7;-14.8;14.8;-14.8;0.0;0.0;0.0;0.0
2	Waveform 1	1	0.993834795	1.178316590	1673.8	5796.6			0.184		4122.8						
2	Spectrogram 1	1	0.993834795	1.178316590	1673.8	5796.6	3531.4	3789.8	0.184	258.4	4122.8	3789.8	1.984	2411.7;2497.9;2411.7;2411.7;2411.7;2325.6;2239.5;2153.3;2067.2;2067.2;1981.1;1894.9;2067.2;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3703.7;3789.8;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8	7.9	6	14.8;-14.8;0.0;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;29.7;-44.5;0.0;296.8;0.0;0.0;0.0;14.8;0.0;14.8;14.8;-14.8;14.8;0.0;0.0;0.0;0.0;0.0;0.0
3	Waveform 1	1	1.353079007	1.540177565	1698.8	5796.6			0.187		4097.8						
3	Spectrogram 1	1	1.353079007	1.540177565	1698.8	5796.6	2497.9	3789.8	0.187	1292.0	4097.8	3789.8	1.971	2411.7;2497.9;2411.7;2411.7;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;2067.2;1808.8;3531.4;3531.4;3531.4;3445.3;3531.4;3617.6;3531.4;3617.6;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8	7.7	8	14.8;-14.8;0.0;0.0;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;29.7;-44.5;296.8;0.0;0.0;-14.8;14.8;14.8;-14.8;14.8;29.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4	Waveform 1	1	1.719472603	1.906571160	1698.8	5846.6			0.187		4147.8						
4	Spectrogram 1	1	1.719472603	1.906571160	1698.8	5846.6	2411.7	3789.8	0.187	1378.1	4147.8	3789.8	2.044	2325.6;2325.6;2325.6;2411.7;2411.7;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1894.9;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3703.7;3617.6;3617.6;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8	8.1	4	0.0;0.0;14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;0.0;296.8;0.0;0.0;0.0;14.8;0.0;14.8;-14.8;0.0;29.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5	Waveform 1	1	2.091821862	2.269761749	1648.8	5821.6			0.178		4172.8						
5	Spectrogram 1	1	2.091821862	2.269761749	1648.8	5821.6	2325.6	3789.8	0.178	1464.3	4172.8	3789.8	2.070	2325.6;2325.6;2325.6;2325.6;2239.5;2153.3;2067.2;2067.2;1981.1;1894.9;2067.2;1808.8;3531.4;3531.4;3445.3;3445.3;3531.4;3531.4;3617.6;3617.6;3703.7;3617.6;3789.8;3789.8;3789.8;3789.8;3789.8;3703.7;3876.0;3789.8	8.7	10	0.0;0.0;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;29.7;-44.5;296.8;0.0;-14.8;0.0;14.8;0.0;14.8;0.0;14.8;-14.8;29.7;0.0;0.0;0.0;0.0;-14.8;29.7;-14.8
6	Waveform 1	1	2.505780264	2.687645295	1623.8	5796.6			0.182		4172.8						
6	Spectrogram 1	1	2.505780264	2.687645295	1623.8	5796.6	2325.6	3789.8	0.182	1464.3	4172.8	3789.8	2.041	2325.6;2325.6;2325.6;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;1808.8;3531.4;3445.3;3445.3;3445.3;3531.4;3531.4;3617.6;3703.7;3617.6;3789.8;3789.8;3789.8;3789.8;3789.8;3703.7;3703.7;3789.8	8.7	7	0.0;0.0;0.0;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;0.0;296.8;-14.8;0.0;0.0;14.8;0.0;14.8;14.8;-14.8;29.7;0.0;0.0;0.0;0.0;-14.8;0.0;14.8
