Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.053777424	0.192295032	1628.0	4226.7			0.139		2598.6						
1	Spectrogram 1	1	0.053777424	0.192295032	1628.0	4226.7	2325.6	2670.1	0.139	344.5	2598.6	2411.7	2.977	2411.7;2411.7;2153.3;2153.3;2153.3;2153.3;2325.6;2411.7;2411.7;2670.1;2756.2;2670.1;2497.9;2497.9;2411.7;2239.5;2411.7;2067.2;2411.7;2497.9;2497.9;2497.9;2239.5	-1.3	0.0;-44.5;0.0;0.0;0.0;29.7;14.8;0.0;44.5;14.8;-14.8;-29.7;0.0;-14.8;-29.7;29.7;-59.4;59.4;14.8;0.0;0.0;-44.5	6
2	Waveform 1	1	0.285183310	0.409034347	1815.9	4195.4			0.124		2379.5						
2	Spectrogram 1	1	0.285183310	0.409034347	1815.9	4195.4	2411.7	2756.2	0.124	344.5	2379.5	2756.2	2.667	2411.7;2325.6;2325.6;2325.6;2325.6;2411.7;2497.9;2670.1;2756.2;2756.2;2670.1;2584.0;2497.9;2411.7;2325.6;2670.1;2067.2;1981.1;2153.3;2497.9	0.8	-14.8;0.0;0.0;0.0;14.8;14.8;29.7;14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;59.4;-103.9;-14.8;29.7;59.4	5
3	Waveform 1	1	0.518218814	0.640440233	1878.5	4195.4			0.122		2316.8						
3	Spectrogram 1	1	0.518218814	0.640440233	1878.5	4195.4	2325.6	2670.1	0.122	344.5	2316.8	2411.7	2.837	2325.6;2239.5;2239.5;2325.6;2325.6;2411.7;2497.9;2670.1;2670.1;2670.1;2584.0;2497.9;2411.7;2325.6;2670.1;2584.0;2584.0;1894.9;1894.9;2670.1	3.1	-14.8;0.0;14.8;0.0;14.8;14.8;29.7;0.0;0.0;-14.8;-14.8;-14.8;-14.8;59.4;-14.8;0.0;-118.7;0.0;133.5	5
4	Waveform 1	1	1.694888627	1.831776616	1753.3	4195.4			0.137		2442.1						
4	Spectrogram 1	1	1.694888627	1.831776616	1753.3	4195.4	2411.7	2756.2	0.137	344.5	2442.1	2756.2	2.703	2928.5;2928.5;2325.6;2325.6;2411.7;2325.6;2411.7;2411.7;2584.0;2497.9;2756.2;2756.2;2670.1;2670.1;2497.9;2411.7;2325.6;2670.1;2067.2;2497.9;2239.5;2756.2;2756.2;2756.2	-1.3	0.0;-103.9;0.0;14.8;-14.8;14.8;0.0;29.7;-14.8;44.5;0.0;-14.8;0.0;-29.7;-14.8;-14.8;59.4;-103.9;74.2;-44.5;89.0;0.0;0.0	11
5	Waveform 1	1	1.925370060	2.054109954	1847.2	4195.4			0.129		2348.1						
5	Spectrogram 1	1	1.925370060	2.054109954	1847.2	4195.4	2325.6	2670.1	0.129	344.5	2348.1	2670.1	2.586	2411.7;2411.7;2325.6;2325.6;2325.6;2325.6;2325.6;2411.7;2497.9;2497.9;2670.1;2670.1;2670.1;2497.9;2411.7;2325.6;2239.5;2584.0;2067.2;2411.7;2411.7;2411.7	0.0	0.0;-14.8;0.0;0.0;0.0;0.0;14.8;14.8;0.0;29.7;0.0;0.0;-29.7;-14.8;-14.8;-14.8;59.4;-89.0;59.4;0.0;0.0	5
