Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.073034966	0.258056879	1202.6	4109.0			0.185		2906.4						
1	Spectrogram 1	1	0.073034966	0.258056879	1202.6	4109.0	3000.0	3187.5	0.185	187.5	2906.4	3187.5	1.980	2250.0;3187.5;2437.5;2437.5;2437.5;1500.0;2437.5;2437.5;2437.5;2437.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3000.0;3187.5;3000.0;3187.5;3000.0;3187.5;3187.5;3187.5;3187.5;3000.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3000.0;3000.0;3000.0;3000.0;3187.5;3000.0;3187.5;3000.0;2812.5;3000.0;3000.0;3187.5;3000.0;3187.5;3187.5;3000.0;3000.0;3000.0;3000.0;3187.5;3000.0;3000.0;3000.0	4.2	351.6;-281.2;0.0;0.0;-351.6;351.6;0.0;0.0;0.0;281.2;0.0;0.0;0.0;0.0;0.0;-70.3;70.3;-70.3;70.3;-70.3;70.3;0.0;0.0;0.0;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;70.3;-70.3;70.3;-70.3;-70.3;70.3;0.0;70.3;-70.3;70.3;0.0;-70.3;0.0;0.0;0.0;70.3;-70.3;0.0;0.0	21
2	Waveform 1	1	0.441455793	0.631346704	1169.2	3875.2			0.190		2705.9						
2	Spectrogram 1	1	0.441455793	0.631346704	1169.2	3875.2	3000.0	3187.5	0.190	187.5	2705.9	3187.5	1.925	3000.0;3187.5;2250.0;2250.0;2250.0;2250.0;2250.0;2250.0;2250.0;2250.0;3187.5;3187.5;2437.5;2437.5;2437.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3187.5;3375.0;3187.5;3187.5;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;2812.5;3000.0;3000.0;2812.5;3187.5;3187.5;3187.5;3187.5;3000.0;3187.5;3000.0;3187.5;3000.0;3187.5;3187.5;3187.5;3000.0	0.0	70.3;-351.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;351.6;0.0;-281.2;0.0;0.0;281.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;-70.3;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;-70.3;70.3;0.0;-70.3;140.6;0.0;0.0;0.0;-70.3;70.3;-70.3;70.3;-70.3;70.3;0.0;0.0;-70.3	19
3	Waveform 1	1	0.827729611	1.007882527	1236.0	3774.9			0.180		2538.9						
3	Spectrogram 1	1	0.827729611	1.007882527	1236.0	3774.9	3000.0	3187.5	0.180	187.5	2538.9	3187.5	1.856	2625.0;2062.5;2812.5;2812.5;2062.5;2250.0;2250.0;2250.0;2062.5;3000.0;2250.0;3187.5;2250.0;3187.5;2250.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3000.0;3187.5;3187.5;3187.5	3.2	-210.9;281.2;0.0;-281.2;70.3;0.0;0.0;-70.3;351.6;-281.2;351.6;-351.6;351.6;-351.6;351.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;70.3;0.0;0.0	15
4	Waveform 1	1	1.187389682	1.372411595	1202.6	3808.4			0.185		2605.7						
4	Spectrogram 1	1	1.187389682	1.372411595	1202.6	3808.4	3000.0	3187.5	0.185	187.5	2605.7	3187.5	1.894	2437.5;2437.5;2062.5;2250.0;2250.0;2250.0;2250.0;2250.0;3000.0;2250.0;3000.0;2250.0;2437.5;2437.5;2250.0;2250.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3000.0;3187.5;3187.5;3375.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3187.5;3000.0;3187.5;3187.5;3000.0;3000.0;3375.0;3375.0;3187.5;3000.0;3000.0;3187.5;2812.5	2.1	0.0;-140.6;70.3;0.0;0.0;0.0;0.0;281.2;-281.2;281.2;-281.2;70.3;0.0;-70.3;0.0;351.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;0.0;-70.3;70.3;0.0;70.3;-140.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;-70.3;0.0;140.6;0.0;-70.3;-70.3;0.0;70.3;-140.6	18
