Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.623661167	0.750574175	2303.0	3782.0			0.127		1479.0						
1	Spectrogram 1	1	0.623661167	0.750574175	2303.0	3782.0	2928.5	3531.4	0.127	602.9	1479.0	2928.5	1.782	2584.0;2497.9;2584.0;2584.0;2584.0;2842.4;2928.5;2928.5;2928.5;3186.9;3273.0;3273.0;3531.4;3531.4;3617.6;3617.6;3617.6;3531.4;3531.4;3531.4;3273.0	5.9	2	-14.8;14.8;0.0;0.0;44.5;14.8;0.0;0.0;44.5;14.8;0.0;44.5;0.0;14.8;0.0;0.0;-14.8;0.0;0.0;-44.5
2	Waveform 1	1	1.102528804	1.230750193	2227.8	3832.1			0.128		1604.3						
2	Spectrogram 1	1	1.102528804	1.230750193	2227.8	3832.1	2928.5	3531.4	0.128	602.9	1604.3	3531.4	1.873	2411.7;2411.7;2497.9;2497.9;2584.0;2670.1;2756.2;2842.4;2842.4;3014.6;3014.6;3186.9;3273.0;3445.3;3531.4;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6	9.4	0	0.0;14.8;0.0;14.8;14.8;14.8;14.8;0.0;29.7;0.0;29.7;14.8;29.7;14.8;14.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3	Waveform 1	1	1.589788799	1.718010188	2252.9	3832.1			0.128		1579.2						
3	Spectrogram 1	1	1.589788799	1.718010188	2252.9	3832.1	3014.6	3531.4	0.128	516.8	1579.2	3359.2	1.638	2411.7;2411.7;2411.7;2497.9;2584.0;2584.0;2670.1;2842.4;2842.4;2928.5;3014.6;3186.9;3273.0;3359.2;3445.3;3531.4;3531.4;3617.6;3617.6;3617.6;3531.4;3531.4	9.2	1	0.0;0.0;14.8;14.8;0.0;14.8;29.7;0.0;14.8;14.8;29.7;14.8;14.8;14.8;14.8;0.0;14.8;0.0;0.0;-14.8;0.0
4	Waveform 1	1	2.061392285	2.188305293	2202.8	3782.0			0.127		1579.2						
4	Spectrogram 1	1	2.061392285	2.188305293	2202.8	3782.0	2928.5	3531.4	0.127	602.9	1579.2	3359.2	1.647	2411.7;2497.9;2497.9;2584.0;2670.1;2670.1;2756.2;2842.4;2928.5;3014.6;3186.9;3273.0;3359.2;3445.3;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4	10.2	0	14.8;0.0;14.8;14.8;0.0;14.8;14.8;14.8;14.8;29.7;14.8;14.8;14.8;14.8;0.0;0.0;0.0;0.0;0.0
5	Waveform 1	1	2.544225247	2.671138255	2227.8	3807.1			0.127		1579.2						
5	Spectrogram 1	1	2.544225247	2.671138255	2227.8	3807.1	3014.6	3531.4	0.127	516.8	1579.2	3359.2	1.635	2411.7;2411.7;2497.9;2584.0;2670.1;2756.2;2842.4;2842.4;2928.5;3014.6;3100.8;3273.0;3359.2;3445.3;3531.4;3531.4;3617.6;3617.6;3531.4;3531.4;3531.4	9.6	1	0.0;14.8;14.8;14.8;14.8;14.8;0.0;14.8;14.8;14.8;29.7;14.8;14.8;14.8;0.0;14.8;0.0;-14.8;0.0;0.0
6	Waveform 1	1	3.041892929	3.168805937	2252.9	3782.0			0.127		1529.1						
6	Spectrogram 1	1	3.041892929	3.168805937	2252.9	3782.0	2928.5	3445.3	0.127	516.8	1529.1	3359.2	1.631	2497.9;2497.9;2584.0;2670.1;2670.1;2756.2;2842.4;2928.5;3014.6;3186.9;3273.0;3359.2;3359.2;3531.4;3531.4;3531.4;3531.4;3617.6;3531.4;3531.4	9.4	1	0.0;14.8;14.8;0.0;14.8;14.8;14.8;14.8;29.7;14.8;14.8;0.0;29.7;0.0;0.0;0.0;14.8;-14.8;0.0
