Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.620172841	0.800729491	1673.8	5771.6			0.181		4097.8						
1	Spectrogram 1	1	0.620172841	0.800729491	1673.8	5771.6	2411.7	3789.8	0.181	1378.1	4097.8	3703.7	2.098	2497.9;2411.7;2497.9;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3703.7;3703.7;3703.7;3703.7	7.2	4	-14.8;14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;296.8;0.0;0.0;0.0;0.0;0.0;14.8;14.8;0.0;14.8;0.0;0.0;0.0;-14.8;0.0;0.0;0.0
2	Waveform 1	1	0.978669378	1.156609265	1698.8	5746.6			0.178		4047.8						
2	Spectrogram 1	1	0.978669378	1.156609265	1698.8	5746.6	2411.7	3703.7	0.178	1292.0	4047.8	3703.7	2.128	2411.7;2411.7;2411.7;2411.7;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3703.7	7.4	4	0.0;0.0;0.0;0.0;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;0.0;296.8;0.0;0.0;0.0;0.0;14.8;14.8;-14.8;14.8;0.0;14.8;0.0;0.0;0.0;0.0;-14.8
3	Waveform 1	1	1.337805780	1.523595956	1673.8	5771.6			0.186		4097.8						
3	Spectrogram 1	1	1.337805780	1.523595956	1673.8	5771.6	2411.7	3703.7	0.186	1292.0	4097.8	3703.7	2.105	2411.7;2411.7;2411.7;2411.7;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1808.8;1808.8;1808.8;1722.7;3445.3;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3703.7;3789.8;3789.8;3789.8;3703.7;3789.8;3789.8;3789.8;3703.7	7.2	4	0.0;0.0;0.0;0.0;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-29.7;0.0;0.0;-14.8;296.8;14.8;0.0;0.0;0.0;0.0;14.8;0.0;14.8;14.8;0.0;0.0;-14.8;14.8;0.0;0.0;-14.8
4	Waveform 1	1	1.702273624	1.876288366	1673.8	5721.6			0.174		4047.8						
4	Spectrogram 1	1	1.702273624	1.876288366	1673.8	5721.6	2411.7	3789.8	0.174	1378.1	4047.8	3703.7	2.014	2325.6;2325.6;2411.7;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1981.1;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3703.7;3703.7;3789.8;3789.8;3703.7;3703.7;3703.7;3703.7;3789.8	8.7	4	0.0;14.8;0.0;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;0.0;-29.7;0.0;296.8;0.0;0.0;0.0;0.0;0.0;14.8;0.0;14.8;0.0;14.8;0.0;-14.8;0.0;0.0;0.0;14.8
5	Waveform 1	1	2.063234169	2.246407582	1698.8	5796.6			0.183		4097.8						
5	Spectrogram 1	1	2.063234169	2.246407582	1698.8	5796.6	2325.6	3789.8	0.183	1464.3	4097.8	3703.7	2.083	2325.6;2325.6;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;1722.7;3531.4;3445.3;3445.3;3445.3;3531.4;3531.4;3617.6;3531.4;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3531.4	7.2	7	0.0;14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;311.6;-14.8;0.0;0.0;14.8;0.0;14.8;-14.8;29.7;14.8;0.0;0.0;0.0;0.0;0.0;0.0;-44.5
6	Waveform 1	1	2.438014979	2.617263248	1648.8	5746.6			0.179		4097.8						
6	Spectrogram 1	1	2.438014979	2.617263248	1648.8	5746.6	2325.6	3703.7	0.179	1378.1	4097.8	3703.7	2.161	2411.7;2325.6;2325.6;2325.6;2325.6;2239.5;2153.3;2067.2;2067.2;1981.1;1894.9;1808.8;1808.8;3531.4;3445.3;3445.3;3445.3;3445.3;3445.3;3531.4;3617.6;3703.7;3703.7;3789.8;3789.8;3703.7;3703.7;3789.8;3789.8;3617.6	7.2	6	-14.8;0.0;0.0;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;0.0;296.8;-14.8;0.0;0.0;0.0;0.0;14.8;14.8;14.8;0.0;14.8;0.0;-14.8;0.0;14.8;0.0;-29.7
