Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.251894691	0.483564262	1127.1	6543.5			0.232		5416.4						
1	Spectrogram 1	1	0.251894691	0.483564262	1127.1	6543.5	3100.8	3962.1	0.232	861.3	5416.4	3186.9	2.601	3014.6;3186.9;3100.8;2842.4;3014.6;3014.6;3100.8;3186.9;3186.9;3186.9;3014.6;2670.1;2928.5;3186.9;2756.2;2928.5;2842.4;3014.6;3186.9;2842.4;3186.9;3186.9;4392.8;4220.5;4134.4;4048.2;3962.1;3962.1;3962.1;4048.2;4134.4;4048.2;4048.2;3962.1;4048.2;3962.1;3962.1;3962.1;3962.1	4.3	29.7;-14.8;-44.5;29.7;0.0;14.8;14.8;0.0;0.0;-29.7;-59.4;44.5;44.5;-74.2;29.7;-14.8;29.7;29.7;-59.4;59.4;0.0;207.7;-29.7;-14.8;-14.8;-14.8;0.0;0.0;14.8;14.8;-14.8;0.0;-14.8;14.8;-14.8;0.0;0.0;0.0	15
2	Waveform 1	1	0.581012573	0.809004849	1127.1	6574.8			0.228		5447.7						
2	Spectrogram 1	1	0.581012573	0.809004849	1127.1	6574.8	3014.6	3273.0	0.228	258.4	5447.7	3186.9	2.583	3186.9;2842.4;3014.6;3014.6;3014.6;3014.6;3100.8;3186.9;3186.9;2928.5;2670.1;2584.0;2584.0;2928.5;2928.5;3014.6;2670.1;3186.9;3186.9;3273.0;4306.6;3186.9;4306.6;4134.4;4048.2;3962.1;3962.1;4048.2;3962.1;4048.2;4134.4;4048.2;3962.1;3962.1;3962.1;4048.2;3962.1;3962.1	3.6	-59.4;29.7;0.0;0.0;0.0;14.8;14.8;0.0;-44.5;-44.5;-14.8;0.0;59.4;0.0;14.8;-59.4;89.0;0.0;14.8;178.1;-192.9;192.9;-29.7;-14.8;-14.8;0.0;14.8;-14.8;14.8;14.8;-14.8;-14.8;0.0;0.0;14.8;-14.8;0.0	14
3	Waveform 1	1	0.898459876	1.128929493	1127.1	6512.2			0.230		5385.1						
3	Spectrogram 1	1	0.898459876	1.128929493	1127.1	6512.2	3100.8	3273.0	0.230	172.3	5385.1	3186.9	2.683	3186.9;3186.9;3014.6;2928.5;2928.5;3014.6;3014.6;3186.9;3186.9;3186.9;3186.9;2670.1;2670.1;3014.6;2756.2;3014.6;3100.8;3186.9;3014.6;3100.8;3100.8;3186.9;4306.6;3100.8;4134.4;4048.2;3962.1;3876.0;3876.0;3876.0;3876.0;3962.1;3962.1;4048.2;4048.2;3962.1;3876.0;3876.0;3962.1;3100.8	-0.4	0.0;-29.7;-14.8;0.0;14.8;0.0;29.7;0.0;0.0;0.0;-89.0;0.0;59.4;-44.5;44.5;14.8;14.8;-29.7;14.8;0.0;14.8;192.9;-207.7;178.1;-14.8;-14.8;-14.8;0.0;0.0;0.0;14.8;0.0;14.8;0.0;-14.8;-14.8;0.0;14.8;-148.4	14
4	Waveform 1	1	1.221028335	1.459886022	1064.5	6480.9			0.239		5416.4						
4	Spectrogram 1	1	1.221028335	1.459886022	1064.5	6480.9	3014.6	3876.0	0.239	861.3	5416.4	3100.8	2.670	3014.6;3014.6;3186.9;2928.5;2928.5;2928.5;2928.5;3014.6;3100.8;3186.9;3100.8;2842.4;2670.1;2584.0;2584.0;2928.5;3100.8;3186.9;3186.9;3014.6;3100.8;3186.9;3186.9;4220.5;4220.5;4134.4;4048.2;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;4048.2;3876.0;3876.0;4048.2;3962.1;3876.0;3962.1;3962.1	4.1	0.0;29.7;-44.5;0.0;0.0;0.0;14.8;14.8;14.8;-14.8;-44.5;-29.7;-14.8;0.0;59.4;29.7;14.8;0.0;-29.7;14.8;14.8;0.0;178.1;0.0;-14.8;-14.8;-29.7;0.0;0.0;0.0;0.0;0.0;29.7;-29.7;0.0;29.7;-14.8;-14.8;14.8;0.0	12
