Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	1.010662976	1.254909518	1102.4	5178.0			0.244		4075.6						
1	Spectrogram 1	1	1.010662976	1.254909518	1102.4	5178.0	2531.2	3187.5	0.244	656.2	4075.6	3093.8	2.432	2343.8;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2343.8;2343.8;2156.2;2062.5;1968.8;1875.0;1875.0;1968.8;2250.0;1687.5;1781.2;2156.2;2156.2;2156.2;2156.2;1875.0;2156.2;2437.5;2531.2;2625.0;2812.5;2906.2;3093.8;3187.5;3375.0;3375.0;3375.0;3281.2;3187.5;3093.8;3093.8;3000.0;3000.0;2906.2;3000.0;2812.5;3000.0;3000.0	2.8	17.6;0.0;0.0;0.0;0.0;0.0;-17.6;0.0;-35.2;-17.6;-17.6;-17.6;0.0;17.6;52.7;-105.5;17.6;70.3;0.0;0.0;0.0;-52.7;52.7;52.7;17.6;17.6;35.2;17.6;35.2;17.6;35.2;0.0;0.0;-17.6;-17.6;-17.6;0.0;-17.6;0.0;-17.6;17.6;-35.2;35.2;0.0	10
2	Waveform 1	1	1.448197765	1.706401252	1102.4	7683.5			0.258		6581.1						
2	Spectrogram 1	1	1.448197765	1.706401252	1102.4	7683.5	2906.2	3187.5	0.258	281.2	6581.1	3000.0	2.300	2437.5;2531.2;2531.2;2531.2;2531.2;2531.2;2437.5;2343.8;2250.0;2156.2;2062.5;1968.8;1875.0;2531.2;2062.5;2437.5;2531.2;2531.2;2437.5;2531.2;2437.5;2531.2;2250.0;2437.5;2250.0;2343.8;2531.2;2625.0;2812.5;2906.2;3093.8;3187.5;3375.0;3375.0;3375.0;3375.0;3281.2;3187.5;3187.5;3093.8;3000.0;3000.0;3000.0;2906.2;2906.2;3000.0;3000.0	2.3	17.6;0.0;0.0;0.0;0.0;-17.6;-17.6;-17.6;-17.6;-17.6;-17.6;-17.6;123.0;-87.9;70.3;17.6;0.0;-17.6;17.6;-17.6;17.6;-52.7;35.2;-35.2;17.6;35.2;17.6;35.2;17.6;35.2;17.6;35.2;0.0;0.0;0.0;-17.6;-17.6;0.0;-17.6;-17.6;0.0;0.0;-17.6;0.0;17.6;0.0	14
3	Waveform 1	1	1.930803238	2.172258391	1135.8	7683.5			0.241		6547.7						
3	Spectrogram 1	1	1.930803238	2.172258391	1135.8	7683.5	2625.0	3187.5	0.241	562.5	6547.7	3093.8	2.264	2437.5;2531.2;2437.5;2531.2;2531.2;2531.2;2343.8;2250.0;2156.2;2062.5;1968.8;1968.8;1875.0;2437.5;2156.2;2531.2;2531.2;2437.5;2156.2;2156.2;2531.2;2531.2;2062.5;2062.5;2437.5;2531.2;2718.8;2812.5;3000.0;3093.8;3281.2;3281.2;3375.0;3375.0;3281.2;3187.5;3187.5;3093.8;3093.8;3000.0;3000.0;2906.2;3000.0;3000.0;3000.0	2.4	17.6;-17.6;17.6;0.0;0.0;-35.2;-17.6;-17.6;-17.6;-17.6;0.0;-17.6;105.5;-52.7;70.3;0.0;-17.6;-52.7;0.0;70.3;0.0;-87.9;0.0;70.3;17.6;35.2;17.6;35.2;17.6;35.2;0.0;17.6;0.0;-17.6;-17.6;0.0;-17.6;0.0;-17.6;0.0;-17.6;17.6;0.0;0.0	12
4	Waveform 1	1	2.393114907	2.647131310	1102.4	6815.0			0.254		5712.5						
4	Spectrogram 1	1	2.393114907	2.647131310	1102.4	6815.0	2625.0	3187.5	0.254	562.5	5712.5	3093.8	2.501	2062.5;2250.0;2437.5;2437.5;2437.5;2531.2;2531.2;2437.5;2343.8;2250.0;2156.2;2062.5;1968.8;1875.0;1875.0;2437.5;2531.2;2531.2;2062.5;2531.2;2250.0;1968.8;2156.2;2531.2;2812.5;2250.0;2531.2;2625.0;2718.8;2906.2;3000.0;3187.5;3281.2;3375.0;3375.0;3375.0;3375.0;3187.5;3187.5;3093.8;3093.8;3000.0;3000.0;2906.2;2812.5;3000.0;3375.0;3093.8	4.1	35.2;35.2;0.0;0.0;17.6;0.0;-17.6;-17.6;-17.6;-17.6;-17.6;-17.6;-17.6;0.0;105.5;17.6;0.0;-87.9;87.9;-52.7;-52.7;35.2;70.3;52.7;-105.5;52.7;17.6;17.6;35.2;17.6;35.2;17.6;17.6;0.0;0.0;0.0;-35.2;0.0;-17.6;0.0;-17.6;0.0;-17.6;-17.6;35.2;70.3;-52.7	11
