Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.074260202	0.284916695	1002.2	4877.4			0.211		3875.2						
1	Spectrogram 1	1	0.074260202	0.284916695	1002.2	4877.4	3187.5	3937.5	0.211	750.0	3875.2	3750.0	2.203	2812.5;3000.0;2062.5;2250.0;2250.0;2812.5;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2625.0;2437.5;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2625.0;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3187.5;3187.5;3000.0;3187.5;3375.0;3375.0;3375.0;3375.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3937.5;3937.5;3937.5;3937.5;4125.0;4125.0;3937.5;3937.5;3937.5;3750.0;3750.0;4125.0;4125.0;3937.5;4125.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3562.5;3562.5;4125.0;4125.0;3562.5;3562.5;3562.5;3750.0;3562.5;3750.0;3750.0;3562.5;3562.5;3562.5	3.7	70.3;-351.6;70.3;0.0;210.9;-210.9;0.0;70.3;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;70.3;0.0;-70.3;70.3;0.0;0.0;0.0;70.3;0.0;0.0;70.3;0.0;-70.3;70.3;70.3;0.0;0.0;0.0;140.6;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;-70.3;0.0;0.0;-70.3;0.0;140.6;0.0;-70.3;70.3;-140.6;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;210.9;0.0;-210.9;0.0;0.0;70.3;-70.3;70.3;0.0;-70.3;0.0;0.0	21
2	Waveform 1	1	0.469809443	0.681981450	1035.6	4509.9			0.212		3474.3						
2	Spectrogram 1	1	0.469809443	0.681981450	1035.6	4509.9	2812.5	3750.0	0.212	937.5	3474.3	3000.0	2.220	3000.0;3562.5;3562.5;2062.5;2250.0;2250.0;2062.5;2250.0;2437.5;2437.5;2250.0;2625.0;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2625.0;2812.5;2812.5;2812.5;3000.0;2812.5;2812.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3187.5;3187.5;3375.0;3375.0;3375.0;3562.5;3750.0;3750.0;3750.0;3937.5;3187.5;3187.5;3187.5;3187.5;3562.5;3937.5;3937.5;3937.5;3375.0;3937.5;3187.5;3937.5;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;3937.5;3937.5;3750.0;3750.0;3750.0;3750.0;4125.0;3750.0;3562.5;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3750.0;3750.0;3750.0	3.7	210.9;0.0;-562.5;70.3;0.0;-70.3;70.3;70.3;0.0;-70.3;140.6;-70.3;70.3;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;70.3;-70.3;0.0;70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;70.3;0.0;0.0;70.3;70.3;0.0;0.0;70.3;-281.2;0.0;0.0;0.0;140.6;140.6;0.0;0.0;-210.9;210.9;-281.2;281.2;70.3;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;-70.3;0.0;0.0;0.0;140.6;-140.6;-70.3;70.3;-70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0	24
3	Waveform 1	1	0.862595637	1.076283158	1035.6	4543.3			0.214		3507.7						
3	Spectrogram 1	1	0.862595637	1.076283158	1035.6	4543.3	3000.0	3750.0	0.214	750.0	3507.7	3000.0	2.097	1875.0;2062.5;2062.5;2250.0;2062.5;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2625.0;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2812.5;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;2812.5;3187.5;3187.5;3000.0;3562.5;3375.0;3375.0;3562.5;3750.0;3750.0;3750.0;3937.5;3937.5;3937.5;3937.5;3937.5;3937.5;4125.0;3937.5;3937.5;3937.5;3937.5;3937.5;3937.5;3937.5;3937.5;3187.5;3937.5;3937.5;3937.5;4125.0;3750.0;3750.0;3750.0;3562.5;3562.5;3562.5;3937.5;3750.0;3562.5;3375.0;3562.5;3562.5;3562.5;3750.0;3750.0;3562.5;3562.5;3562.5	8.1	70.3;0.0;70.3;-70.3;70.3;0.0;70.3;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;-70.3;140.6;0.0;-70.3;210.9;-70.3;0.0;70.3;70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-281.2;281.2;0.0;0.0;70.3;-140.6;0.0;0.0;-70.3;0.0;0.0;140.6;-70.3;-70.3;-70.3;70.3;0.0;0.0;70.3;0.0;-70.3;0.0;0.0	17
4	Waveform 1	1	1.247272714	1.477630893	1035.6	4710.3			0.230		3674.7						
4	Spectrogram 1	1	1.247272714	1.477630893	1035.6	4710.3	2812.5	3750.0	0.230	937.5	3674.7	3000.0	2.122	3562.5;3562.5;2062.5;2250.0;2062.5;2250.0;2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2625.0;2812.5;2812.5;2812.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3562.5;3750.0;3375.0;3750.0;3937.5;3937.5;3937.5;3187.5;3562.5;3937.5;3937.5;3937.5;3937.5;3937.5;3937.5;3187.5;3375.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;4125.0;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3562.5;3750.0;3750.0;3750.0;3750.0;3750.0;3750.0;3562.5;3562.5;3750.0;3750.0;3562.5;3750.0;3750.0;3562.5;3750.0;3750.0;3562.5	0.0	0.0;-562.5;70.3;-70.3;70.3;0.0;0.0;0.0;70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;70.3;70.3;-140.6;140.6;70.3;0.0;0.0;-281.2;140.6;140.6;0.0;0.0;0.0;0.0;0.0;-281.2;70.3;281.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-140.6;0.0;0.0;0.0;0.0;0.0;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;70.3;0.0;-70.3;70.3;0.0;-70.3;70.3;0.0;-70.3	20
5	Waveform 1	1	1.625907683	1.854750347	1035.6	4576.7			0.229		3541.1						
5	Spectrogram 1	1	1.625907683	1.854750347	1035.6	4576.7	2812.5	3750.0	0.229	937.5	3541.1	3000.0	2.145	2062.5;2062.5;2250.0;2062.5;2250.0;2062.5;2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2625.0;2812.5;2625.0;2812.5;2812.5;2812.5;2625.0;2625.0;3000.0;2812.5;3000.0;3000.0;3000.0;3000.0;3000.0;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3187.5;3375.0;3750.0;3750.0;3937.5;3937.5;3187.5;3937.5;3937.5;3937.5;4125.0;3937.5;3562.5;4125.0;4125.0;3375.0;3937.5;3937.5;4125.0;4125.0;4125.0;3937.5;3937.5;3937.5;4125.0;3750.0;3750.0;3750.0;3937.5;3562.5;3750.0;3750.0;3937.5;3750.0;3937.5;3375.0;3750.0;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5;3562.5	6.6	0.0;70.3;-70.3;70.3;-70.3;70.3;0.0;0.0;70.3;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;70.3;0.0;0.0;-70.3;0.0;140.6;-70.3;70.3;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;0.0;70.3;0.0;-70.3;70.3;140.6;0.0;70.3;0.0;-281.2;281.2;0.0;0.0;70.3;-70.3;-140.6;210.9;0.0;-281.2;210.9;0.0;70.3;0.0;0.0;-70.3;0.0;0.0;70.3;-140.6;0.0;0.0;70.3;-140.6;70.3;0.0;70.3;-70.3;70.3;-210.9;140.6;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0	29
