Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.175323124	0.346721103	1726.5	5912.7			0.171		4186.2						
1	Spectrogram 1	1	0.175323124	0.346721103	1726.5	5912.7	2497.9	3789.8	0.171	1292.0	4186.2	3789.8	2.084	2497.9;2497.9;2497.9;2411.7;2325.6;2325.6;2239.5;2153.3;2153.3;1981.1;1894.9;1808.8;1808.8;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3703.7;3789.8;3789.8;3789.8;3876.0;3876.0;3876.0;3876.0;3789.8	8.2	2	0.0;0.0;-14.8;-14.8;0.0;-14.8;-14.8;0.0;-29.7;-14.8;-14.8;0.0;311.6;0.0;0.0;0.0;0.0;0.0;14.8;14.8;0.0;0.0;14.8;0.0;0.0;0.0;-14.8
2	Waveform 1	1	0.540361568	0.711759547	1701.4	5862.6			0.171		4161.1						
2	Spectrogram 1	1	0.540361568	0.711759547	1701.4	5862.6	3531.4	3703.7	0.171	172.3	4161.1	3617.6	2.139	2497.9;2411.7;2497.9;2497.9;2325.6;2239.5;2239.5;2153.3;2153.3;2067.2;1981.1;1894.9;1808.8;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3789.8;3789.8;3789.8;3876.0;3789.8;3703.7;3617.6	7.1	4	-14.8;14.8;0.0;-29.7;-14.8;0.0;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;311.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.7;0.0;0.0;14.8;-14.8;-14.8;-14.8
3	Waveform 1	1	0.901659085	1.075673828	1726.5	5762.3			0.174		4035.8						
3	Spectrogram 1	1	0.901659085	1.075673828	1726.5	5762.3	2411.7	3703.7	0.174	1292.0	4035.8	3617.6	2.051	2497.9;2497.9;2497.9;2497.9;2497.9;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;1981.1;1894.9;1808.8;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3703.7;3703.7;3789.8;3617.6;3789.8;3789.8;3617.6;3789.8;3789.8	7.7	5	0.0;0.0;0.0;0.0;-29.7;-14.8;-14.8;0.0;-14.8;-14.8;0.0;-14.8;-14.8;311.6;0.0;0.0;0.0;0.0;0.0;0.0;14.8;0.0;14.8;-29.7;29.7;0.0;-29.7;29.7;0.0
4	Waveform 1	1	1.266644532	1.444584419	1726.5	5837.5			0.178		4111.0						
4	Spectrogram 1	1	1.266644532	1.444584419	1726.5	5837.5	2411.7	3789.8	0.178	1378.1	4111.0	3703.7	2.081	2411.7;2497.9;2497.9;2497.9;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1894.9;1894.9;2411.7;3531.4;3531.4;3531.4;3617.6;3617.6;3617.6;3703.7;3703.7;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8	8.2	2	14.8;0.0;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;0.0;89.0;192.9;0.0;0.0;14.8;0.0;0.0;14.8;0.0;0.0;0.0;14.8;0.0;0.0;0.0;0.0
6	Waveform 1	1	1.634003807	1.819793983	1701.4	5787.4			0.186		4085.9						
6	Spectrogram 1	1	1.634003807	1.819793983	1701.4	5787.4	2325.6	3789.8	0.186	1464.3	4085.9	3789.8	2.132	2411.7;2411.7;2411.7;2325.6;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1894.9;1894.9;1808.8;1981.1;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3703.7;3789.8;3789.8;3876.0;3789.8;3703.7;3789.8;3789.8;3789.8;3703.7	7.2	4	0.0;0.0;-14.8;0.0;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;0.0;-14.8;29.7;267.1;0.0;0.0;0.0;0.0;14.8;0.0;14.8;14.8;0.0;14.8;-14.8;-14.8;14.8;0.0;0.0;-14.8
7	Waveform 1	1	2.010094600	2.198501539	1701.4	5511.6			0.188		3810.2						
7	Spectrogram 1	1	2.010094600	2.198501539	1701.4	5511.6	2325.6	3789.8	0.188	1464.3	3810.2	3789.8	2.195	2325.6;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1894.9;1894.9;2325.6;2670.1;3531.4;3445.3;3531.4;3531.4;3617.6;3617.6;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3531.4;3789.8;3789.8;3789.8;3703.7	7.9	7	14.8;0.0;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;0.0;74.2;59.4;148.4;-14.8;14.8;0.0;14.8;0.0;0.0;14.8;14.8;0.0;0.0;0.0;-44.5;44.5;0.0;0.0;-14.8
