Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.252517634	0.439616191	1723.8	4172.5			0.187		2448.7						
1	Spectrogram 1	1	0.252517634	0.439616191	1723.8	4172.5	2411.7	3876.0	0.187	1464.3	2448.7	3962.1	2.097	2497.9;2411.7;2497.9;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;2067.2;1894.9;1894.9;1981.1;1808.8;3531.4;3531.4;3617.6;3617.6;3703.7;3789.8;3789.8;3703.7;3876.0;3876.0;3962.1;3962.1;3962.1;3962.1;3789.8;3962.1;3962.1	8.4	9	-14.8;14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;0.0;-29.7;0.0;14.8;-29.7;296.8;0.0;14.8;0.0;14.8;14.8;0.0;-14.8;29.7;0.0;14.8;0.0;0.0;0.0;-29.7;29.7;0.0
2	Waveform 1	1	0.620172841	0.799421109	1698.8	4022.6			0.179		2323.8						
2	Spectrogram 1	1	0.620172841	0.799421109	1698.8	4022.6	2411.7	3789.8	0.179	1378.1	2323.8	3789.8	1.988	2497.9;2411.7;2411.7;2411.7;2411.7;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1894.9;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3876.0;3789.8;3789.8	7.7	2	-14.8;0.0;0.0;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;0.0;296.8;0.0;0.0;0.0;14.8;0.0;14.8;0.0;14.8;0.0;0.0;0.0;0.0;14.8;-14.8;0.0
3	Waveform 1	1	0.978954058	1.169977760	1723.8	3972.6			0.191		2248.8						
3	Spectrogram 1	1	0.978954058	1.169977760	1723.8	3972.6	2497.9	3789.8	0.191	1292.0	2248.8	3789.8	2.014	2497.9;2411.7;2411.7;2411.7;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1981.1;1894.9;1808.8;1808.8;3531.4;3531.4;3531.4;3617.6;3617.6;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3703.7;3703.7;3703.7;3531.4	5.6	2	-14.8;0.0;0.0;0.0;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;0.0;296.8;0.0;0.0;14.8;0.0;0.0;14.8;0.0;14.8;0.0;0.0;0.0;0.0;0.0;-14.8;0.0;0.0;-29.7
4	Waveform 1	1	1.339870249	1.523043661	1723.8	3997.6			0.183		2273.8						
4	Spectrogram 1	1	1.339870249	1.523043661	1723.8	3997.6	2411.7	3789.8	0.183	1378.1	2273.8	3617.6	2.025	2239.5;2411.7;2325.6;2411.7;2325.6;2325.6;2325.6;2239.5;2153.3;2067.2;2067.2;1981.1;1894.9;1808.8;2153.3;3617.6;3531.4;3531.4;3617.6;3617.6;3617.6;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3617.6;3789.8;3789.8;3789.8	8.6	8	29.7;-14.8;14.8;-14.8;0.0;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;59.4;252.2;-14.8;0.0;14.8;0.0;0.0;0.0;14.8;14.8;0.0;0.0;0.0;0.0;-29.7;29.7;0.0;0.0
5	Waveform 1	1	1.702203806	1.886685601	1698.8	3997.6			0.184		2298.8						
5	Spectrogram 1	1	1.702203806	1.886685601	1698.8	3997.6	2411.7	3789.8	0.184	1378.1	2298.8	3789.8	1.897	2325.6;2325.6;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1894.9;1894.9;2153.3;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8	8.1	4	0.0;14.8;0.0;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;44.5;-59.4;296.8;0.0;0.0;0.0;0.0;0.0;14.8;14.8;14.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6	Waveform 1	1	2.068691187	2.251864600	1698.8	3972.6			0.183		2273.8						
6	Spectrogram 1	1	2.068691187	2.251864600	1698.8	3972.6	3445.3	3789.8	0.183	344.5	2273.8	3789.8	1.983	2411.7;2325.6;2325.6;2325.6;2325.6;2239.5;2239.5;2067.2;2067.2;1981.1;1894.9;1808.8;1808.8;1808.8;3531.4;3531.4;3445.3;3531.4;3531.4;3617.6;3617.6;3617.6;3789.8;3789.8;3789.8;3789.8;3789.8;3703.7;3703.7;3703.7	7.7	4	-14.8;0.0;0.0;0.0;-14.8;0.0;-29.7;0.0;-14.8;-14.8;-14.8;0.0;0.0;296.8;0.0;-14.8;14.8;0.0;14.8;0.0;0.0;29.7;0.0;0.0;0.0;0.0;-14.8;0.0;0.0
