Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Avg Entropy (bits)	Delta Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Peak Freq (Hz)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.141642960	0.335137360	1399.6	4198.9				2799.3	0.193						
1	Spectrogram 1	1	0.141642960	0.335137360	1399.6	4198.9	3093.8	3468.8	2.473	2799.3	0.193	375.0	3468.8	2906.2;2906.2;2625.0;2906.2;2625.0;2812.5;2718.8;2718.8;2718.8;2718.8;2718.8;2625.0;2625.0;2625.0;2531.2;2718.8;2718.8;2906.2;2812.5;2625.0;2906.2;3187.5;3375.0;3468.8;3468.8;3468.8;3281.2;3187.5;2812.5;3468.8;3468.8;3468.8;3000.0;3468.8;3187.5	1.6	0.0;-52.7;52.7;-52.7;35.2;-17.6;0.0;0.0;0.0;0.0;-17.6;0.0;0.0;-17.6;35.2;0.0;35.2;-17.6;-35.2;52.7;52.7;35.2;17.6;0.0;0.0;-35.2;-17.6;-70.3;123.0;0.0;0.0;-87.9;87.9;-52.7	12
2	Waveform 1	1	0.521043745	0.724655500	1516.3	4257.2				2740.9	0.204						
2	Spectrogram 1	1	0.521043745	0.724655500	1516.3	4257.2	2812.5	3468.8	2.353	2740.9	0.204	656.2	3468.8	2906.2;2906.2;2906.2;2906.2;2718.8;2812.5;2812.5;2812.5;2812.5;2718.8;2718.8;2718.8;2718.8;2718.8;2531.2;2531.2;2343.8;2718.8;2718.8;2718.8;2625.0;3000.0;3187.5;3375.0;3468.8;3468.8;3562.5;3468.8;3468.8;3281.2;2906.2;3562.5;3562.5;3468.8;3468.8;3375.0;3187.5;3187.5	1.4	0.0;0.0;0.0;-35.2;17.6;0.0;0.0;0.0;-17.6;0.0;0.0;0.0;0.0;-35.2;0.0;-35.2;70.3;0.0;0.0;-17.6;70.3;35.2;35.2;17.6;0.0;17.6;-17.6;0.0;-35.2;-70.3;123.0;0.0;-17.6;0.0;-17.6;-35.2;0.0	8
3	Waveform 1	1	0.906767876	1.111644300	1341.3	5336.1				3994.8	0.205						
3	Spectrogram 1	1	0.906767876	1.111644300	1341.3	5336.1	2906.2	3468.8	2.431	3994.8	0.205	562.5	3562.5	2906.2;2812.5;2906.2;2718.8;2906.2;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2906.2;2812.5;2718.8;2625.0;2625.0;2343.8;3187.5;3187.5;2625.0;2906.2;3187.5;3281.2;3562.5;3562.5;3562.5;3468.8;3281.2;3187.5;3562.5;3562.5;3562.5;3562.5;3187.5;3000.0;3562.5;3468.8	2.9	-17.6;17.6;-35.2;35.2;-17.6;0.0;0.0;0.0;0.0;0.0;17.6;-17.6;-17.6;-17.6;0.0;-52.7;158.2;0.0;-105.5;52.7;52.7;17.6;52.7;0.0;0.0;-17.6;-35.2;-17.6;70.3;0.0;0.0;0.0;-70.3;-35.2;105.5;-17.6	14
4	Waveform 1	1	1.273521969	1.470810377	1458.0	4373.9				2915.9	0.197						
4	Spectrogram 1	1	1.273521969	1.470810377	1458.0	4373.9	2812.5	3468.8	2.316	2915.9	0.197	656.2	3468.8	2906.2;2906.2;2906.2;2906.2;2718.8;2906.2;2812.5;2906.2;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2625.0;2625.0;2343.8;2812.5;2812.5;2718.8;3000.0;3187.5;3281.2;3468.8;3468.8;3468.8;3468.8;3375.0;3281.2;3187.5;3281.2;3375.0;3468.8;3468.8;3468.8;3468.8	3.0	0.0;0.0;0.0;-35.2;35.2;-17.6;17.6;-17.6;0.0;0.0;0.0;0.0;0.0;-35.2;0.0;-52.7;87.9;0.0;-17.6;52.7;35.2;17.6;35.2;0.0;0.0;0.0;-17.6;-17.6;-17.6;17.6;17.6;17.6;0.0;0.0;0.0	9
5	Waveform 1	1	2.845553719	3.051694812	1399.6	4432.2				3032.5	0.206						
5	Spectrogram 1	1	2.845553719	3.051694812	1399.6	4432.2	2812.5	3375.0	2.322	3032.5	0.206	562.5	3468.8	2718.8;2812.5;2812.5;2906.2;2718.8;2906.2;2812.5;2812.5;2812.5;2812.5;2906.2;2906.2;2906.2;2812.5;2625.0;2531.2;2343.8;2343.8;2343.8;2625.0;2906.2;3187.5;3281.2;3375.0;3468.8;3468.8;3468.8;3375.0;3281.2;3093.8;3375.0;3375.0;3375.0;3281.2;3375.0;3187.5;3187.5;3375.0;3468.8	3.7	17.6;0.0;17.6;-35.2;35.2;-17.6;0.0;0.0;0.0;17.6;0.0;0.0;-17.6;-35.2;-17.6;-35.2;0.0;0.0;52.7;52.7;52.7;17.6;17.6;17.6;0.0;0.0;-17.6;-17.6;-35.2;52.7;0.0;0.0;-17.6;17.6;-35.2;0.0;35.2;17.6	12
6	Waveform 1	1	3.221160496	3.414654896	1283.0	4344.7				3061.7	0.193						
