Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.238125437	0.429149139	1651.3	4082.8			0.191		2431.5						
1	Spectrogram 1	1	0.238125437	0.429149139	1651.3	4082.8	3531.4	3703.7	0.191	172.3	2431.5	3617.6	2.007	2411.7;2497.9;2411.7;2411.7;2325.6;2239.5;2153.3;2067.2;2067.2;1981.1;1894.9;1981.1;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3617.6;3876.0;3876.0;3876.0;3876.0;3617.6;3876.0;3876.0;3789.8;3876.0;3876.0	8.4	8	14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;14.8;-29.7;296.8;0.0;0.0;0.0;0.0;14.8;0.0;0.0;44.5;0.0;0.0;0.0;-44.5;44.5;0.0;-14.8;14.8;0.0
2	Waveform 1	1	0.596621974	0.777178624	1651.3	4032.7			0.181		2381.4						
2	Spectrogram 1	1	0.596621974	0.777178624	1651.3	4032.7	3445.3	3703.7	0.181	258.4	2381.4	3703.7	2.093	2497.9;2325.6;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1894.9;1981.1;1981.1;1808.8;3445.3;3445.3;3445.3;3531.4;3531.4;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3703.7;3703.7;3789.8;3789.8	7.7	7	-29.7;14.8;0.0;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;14.8;0.0;-29.7;281.9;0.0;0.0;14.8;0.0;14.8;14.8;0.0;14.8;0.0;0.0;0.0;-14.8;0.0;14.8;0.0
3	Waveform 1	1	0.952501747	1.144833831	1676.4	3957.5			0.192		2281.1						
3	Spectrogram 1	1	0.952501747	1.144833831	1676.4	3957.5	2411.7	3703.7	0.192	1292.0	2281.1	3703.7	1.980	2411.7;2411.7;2411.7;2325.6;2325.6;2325.6;2239.5;2153.3;2067.2;2067.2;1981.1;1894.9;1981.1;1808.8;1808.8;3531.4;3445.3;3531.4;3531.4;3531.4;3617.6;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3617.6;3617.6;3617.6;3703.7;3789.8;3789.8	7.4	7	0.0;0.0;-14.8;0.0;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;14.8;-29.7;0.0;296.8;-14.8;14.8;0.0;0.0;14.8;0.0;14.8;0.0;14.8;0.0;0.0;-29.7;0.0;0.0;14.8;14.8;0.0
4	Waveform 1	1	1.315970263	1.510919109	1651.3	3957.5			0.195		2306.2						
4	Spectrogram 1	1	1.315970263	1.510919109	1651.3	3957.5	3445.3	3703.7	0.195	258.4	2306.2	3531.4	2.008	2325.6;2411.7;2411.7;2411.7;2411.7;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;1894.9;1981.1;1808.8;1808.8;3531.4;3531.4;3445.3;3531.4;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3703.7;3703.7;3703.7;3789.8;3789.8;3789.8	7.6	8	14.8;0.0;0.0;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;14.8;-29.7;0.0;296.8;0.0;-14.8;14.8;0.0;0.0;14.8;14.8;14.8;0.0;0.0;0.0;0.0;-14.8;0.0;0.0;14.8;0.0;0.0
