Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.170089598	0.338870814	1651.3	4082.8			0.169		2431.5						
1	Spectrogram 1	1	0.170089598	0.338870814	1651.3	4082.8	3445.3	3789.8	0.169	344.5	2431.5	3617.6	2.035	2497.9;2497.9;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1808.8;1808.8;1808.8;3531.4;3531.4;3531.4;3445.3;3445.3;3531.4;3617.6;3703.7;3703.7;3876.0;3876.0;3876.0;3617.6;3617.6;3789.8	8.2	5	0.0;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-29.7;0.0;0.0;296.8;0.0;0.0;-14.8;0.0;14.8;14.8;14.8;0.0;29.7;0.0;0.0;-44.5;0.0;29.7
2	Waveform 1	1	0.530178228	0.701576207	1651.3	3957.5			0.171		2306.2						
2	Spectrogram 1	1	0.530178228	0.701576207	1651.3	3957.5	3445.3	3703.7	0.171	258.4	2306.2	3617.6	2.011	2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;1808.8;3531.4;3531.4;3531.4;3445.3;3531.4;3617.6;3617.6;3703.7;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8	8.8	5	0.0;0.0;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;0.0;296.8;0.0;0.0;-14.8;14.8;14.8;0.0;14.8;-14.8;14.8;14.8;0.0;0.0;0.0;0.0
3	Waveform 1	1	0.879234089	1.074182935	1676.4	4007.6			0.195		2331.2						
3	Spectrogram 1	1	0.879234089	1.074182935	1676.4	4007.6	3445.3	3703.7	0.195	258.4	2331.2	3789.8	2.062	2497.9;2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2153.3;1981.1;1981.1;1894.9;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3703.7;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8	6.7	3	-14.8;0.0;0.0;-14.8;0.0;-14.8;-14.8;0.0;-29.7;0.0;-14.8;-14.8;0.0;296.8;0.0;0.0;0.0;0.0;14.8;14.8;14.8;0.0;0.0;0.0;0.0;0.0;-14.8;-14.8;14.8;14.8;0.0;0.0;0.0
4	Waveform 1	1	1.243147480	1.426320893	1676.4	4007.6			0.183		2331.2						
4	Spectrogram 1	1	1.243147480	1.426320893	1676.4	4007.6	2497.9	3703.7	0.183	1205.9	2331.2	3531.4	2.040	2411.7;2325.6;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2153.3;1981.1;1981.1;1894.9;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3531.4;3789.8;3789.8;3789.8	7.9	5	-14.8;14.8;0.0;-14.8;0.0;-14.8;-14.8;0.0;-29.7;0.0;-14.8;-14.8;0.0;296.8;0.0;0.0;0.0;0.0;0.0;14.8;14.8;14.8;0.0;0.0;0.0;0.0;-44.5;44.5;0.0;0.0
5	Waveform 1	1	1.615137447	1.806161149	1676.4	4007.6			0.191		2331.2						
5	Spectrogram 1	1	1.615137447	1.806161149	1676.4	4007.6	3445.3	3789.8	0.191	344.5	2331.2	3531.4	2.018	2411.7;2411.7;2325.6;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1894.9;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3531.4;3789.8;3789.8;3789.8;3789.8;3789.8	7.4	5	0.0;-14.8;14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;0.0;296.8;0.0;0.0;0.0;0.0;0.0;14.8;14.8;14.8;0.0;0.0;0.0;0.0;-44.5;44.5;0.0;0.0;0.0;0.0
