Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.178309718	0.378271331	1033.2	4383.2			0.200		3350.0						
1	Spectrogram 1	1	0.178309718	0.378271331	1033.2	4383.2	3273.0	3876.0	0.200	602.9	3350.0	3789.8	2.924	3876.0;3876.0;3876.0;3789.8;3876.0;3789.8;3789.8;3876.0;3789.8;3789.8;3789.8;3876.0;3876.0;3789.8;3100.8;3789.8;3273.0;3273.0;3789.8;3789.8;3186.9;2928.5;3273.0;3359.2;3186.9;3273.0;3273.0;3273.0;3186.9;3789.8;3876.0;3876.0;3100.8;3186.9	-3.6	0.0;0.0;-14.8;14.8;-14.8;0.0;14.8;-14.8;0.0;0.0;14.8;0.0;-14.8;-118.7;118.7;-89.0;0.0;89.0;0.0;-103.9;-44.5;59.4;14.8;-29.7;14.8;0.0;0.0;-14.8;103.9;14.8;0.0;-133.5;14.8	17
2	Waveform 1	1	0.536202795	0.741258971	1158.4	4320.6			0.205		3162.2						
2	Spectrogram 1	1	0.536202795	0.741258971	1158.4	4320.6	3186.9	3789.8	0.205	602.9	3162.2	3789.8	3.022	3876.0;3789.8;3789.8;3703.7;3703.7;3789.8;3876.0;3789.8;3789.8;3789.8;3789.8;3876.0;3789.8;3703.7;3789.8;3186.9;3186.9;3186.9;3703.7;3186.9;3703.7;3789.8;3100.8;3186.9;3186.9;3100.8;3703.7;3703.7;3100.8;3186.9;3186.9;3100.8;3789.8;3186.9	-3.6	-14.8;0.0;-14.8;0.0;14.8;14.8;-14.8;0.0;0.0;0.0;14.8;-14.8;-14.8;14.8;-103.9;0.0;0.0;89.0;-89.0;89.0;14.8;-118.7;14.8;0.0;-14.8;103.9;0.0;-103.9;14.8;0.0;-14.8;118.7;-103.9	18
3	Waveform 1	1	0.893160243	1.119847447	970.6	4351.9			0.227		3381.3						
3	Spectrogram 1	1	0.893160243	1.119847447	970.6	4351.9	3100.8	3703.7	0.227	602.9	3381.3	3703.7	3.189	3962.1;3962.1;3789.8;3703.7;3703.7;3703.7;3703.7;3617.6;3617.6;3617.6;3617.6;3789.8;3789.8;3789.8;3703.7;3703.7;3186.9;3186.9;3186.9;2928.5;3703.7;3703.7;3186.9;3100.8;2928.5;3703.7;3100.8;2928.5;3703.7;3100.8;3186.9;3186.9;3186.9;3100.8;3186.9;2842.4;2928.5;3703.7;3703.7	-1.2	0.0;-29.7;-14.8;0.0;0.0;0.0;-14.8;0.0;0.0;0.0;29.7;0.0;0.0;-14.8;0.0;-89.0;0.0;0.0;-44.5;133.5;0.0;-89.0;-14.8;-29.7;133.5;-103.9;-29.7;133.5;-103.9;14.8;0.0;0.0;-14.8;14.8;-59.4;14.8;133.5;0.0	13
4	Waveform 1	1	1.252644106	1.458635912	1095.8	4445.8			0.206		3350.0						
4	Spectrogram 1	1	1.252644106	1.458635912	1095.8	4445.8	3186.9	3789.8	0.206	602.9	3350.0	3703.7	2.978	3703.7;3962.1;3876.0;3703.7;3703.7;3703.7;3703.7;3703.7;3703.7;3703.7;3703.7;3703.7;3789.8;3703.7;3789.8;3703.7;3789.8;2928.5;3186.9;3100.8;3014.6;2756.2;3703.7;3703.7;3703.7;3186.9;2928.5;3014.6;3100.8;3186.9;3186.9;3186.9;3186.9;3186.9;3100.8;2928.5	-3.8	44.5;-14.8;-29.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.8;-14.8;14.8;-14.8;14.8;-148.4;44.5;-14.8;-14.8;-44.5;163.2;0.0;0.0;-89.0;-44.5;14.8;14.8;14.8;0.0;0.0;0.0;0.0;-14.8;-29.7	13
