Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.417480037	0.594111542	1623.8	5921.5			0.177		4297.7						
1	Spectrogram 1	1	0.417480037	0.594111542	1623.8	5921.5	2584.0	3789.8	0.177	1205.9	4297.7	3789.8	2.178	2497.9;2411.7;2411.7;2411.7;2411.7;2325.6;2239.5;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;1722.7;3445.3;3445.3;3445.3;3531.4;3531.4;3703.7;3703.7;3789.8;3876.0;3876.0;3876.0;3703.7;3703.7;3876.0;3876.0;3789.8	7.7	4	-14.8;0.0;0.0;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;296.8;0.0;0.0;14.8;0.0;29.7;0.0;14.8;14.8;0.0;0.0;-29.7;0.0;29.7;0.0;-14.8
3	Waveform 1	1	0.774795297	0.960585473	1648.8	5796.6			0.186		4147.8						
3	Spectrogram 1	1	0.774795297	0.960585473	1648.8	5796.6	2497.9	3789.8	0.186	1292.0	4147.8	3789.8	2.028	2411.7;2411.7;2411.7;2411.7;2411.7;2325.6;2153.3;2153.3;2067.2;1981.1;1894.9;1808.8;1722.7;1722.7;3445.3;3445.3;3445.3;3531.4;3531.4;3617.6;3617.6;3703.7;3789.8;3789.8;3789.8;3703.7;3789.8;3876.0;3789.8;3789.8;3789.8	7.9	4	0.0;0.0;0.0;0.0;-14.8;-29.7;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;296.8;0.0;0.0;14.8;0.0;14.8;0.0;14.8;14.8;0.0;0.0;-14.8;14.8;14.8;-14.8;0.0;0.0
4	Waveform 1	1	1.143130663	1.322378931	1673.8	5771.6			0.179		4097.8						
4	Spectrogram 1	1	1.143130663	1.322378931	1673.8	5771.6	3531.4	3789.8	0.179	258.4	4097.8	3789.8	2.041	2239.5;2411.7;2325.6;2411.7;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3876.0;3789.8;3789.8;3789.8	8.9	5	29.7;-14.8;14.8;0.0;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;296.8;0.0;0.0;0.0;0.0;0.0;14.8;14.8;0.0;14.8;0.0;0.0;0.0;14.8;-14.8;0.0;0.0
5	Waveform 1	1	1.508169107	1.687417375	1648.8	5746.6			0.179		4097.8						
5	Spectrogram 1	1	1.508169107	1.687417375	1648.8	5746.6	2497.9	3789.8	0.179	1292.0	4097.8	3703.7	1.984	2325.6;2411.7;2411.7;2411.7;2411.7;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1894.9;1808.8;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3703.7;3703.7;3703.7;3703.7;3789.8	8.4	4	14.8;0.0;0.0;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;0.0;0.0;296.8;0.0;0.0;0.0;14.8;0.0;14.8;0.0;14.8;0.0;0.0;-14.8;0.0;0.0;0.0;14.8
6	Waveform 1	1	1.866196917	2.053295475	1648.8	5746.6			0.187		4097.8						
6	Spectrogram 1	1	1.866196917	2.053295475	1648.8	5746.6	3445.3	3789.8	0.187	344.5	4097.8	3789.8	2.047	2411.7;2411.7;2325.6;2325.6;2325.6;2239.5;2239.5;2153.3;2153.3;1981.1;1981.1;1894.9;1808.8;1808.8;1808.8;3531.4;3531.4;3445.3;3531.4;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3617.6;3789.8;3703.7;3789.8;3789.8	7.7	7	0.0;-14.8;0.0;0.0;-14.8;0.0;-14.8;0.0;-29.7;0.0;-14.8;-14.8;0.0;0.0;296.8;0.0;-14.8;14.8;0.0;0.0;14.8;14.8;14.8;0.0;0.0;0.0;-29.7;29.7;-14.8;14.8;0.0
