Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.180556650	0.357188155	1676.4	5812.4			0.177		4136.1						
1	Spectrogram 1	1	0.180556650	0.357188155	1676.4	5812.4	3617.6	3789.8	0.177	172.3	4136.1	3789.8	2.263	2411.7;2411.7;2411.7;2411.7;2411.7;2239.5;2239.5;2067.2;2067.2;1981.1;1808.8;1808.8;1894.9;3445.3;3531.4;3445.3;3445.3;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3876.0;3703.7;3617.6;3876.0;3876.0;3789.8	8.5	6	0.0;0.0;0.0;0.0;-29.7;0.0;-29.7;0.0;-14.8;-29.7;0.0;14.8;267.1;14.8;-14.8;0.0;14.8;14.8;14.8;14.8;0.0;0.0;14.8;-29.7;-14.8;44.5;0.0;-14.8
2	Waveform 1	1	0.539053187	0.722226600	1676.4	5812.4			0.183		4136.1						
2	Spectrogram 1	1	0.539053187	0.722226600	1676.4	5812.4	3445.3	3703.7	0.183	258.4	4136.1	3617.6	2.270	2497.9;2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2067.2;2067.2;1981.1;1981.1;1808.8;1894.9;3445.3;3445.3;3531.4;3445.3;3531.4;3531.4;3617.6;3617.6;3703.7;3789.8;3789.8;3789.8;3703.7;3703.7;3617.6;3789.8;3789.8;3789.8	7.4	5	-14.8;0.0;0.0;-14.8;0.0;-14.8;-29.7;0.0;-14.8;0.0;-29.7;14.8;267.1;0.0;14.8;-14.8;14.8;0.0;14.8;0.0;14.8;14.8;0.0;0.0;-14.8;0.0;-14.8;29.7;0.0;0.0
3	Waveform 1	1	0.902895336	1.084760367	1676.4	5812.4			0.182		4136.1						
3	Spectrogram 1	1	0.902895336	1.084760367	1676.4	5812.4	2497.9	3703.7	0.182	1205.9	4136.1	3703.7	2.146	2497.9;2411.7;2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2067.2;2067.2;1981.1;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3703.7;3789.8;3789.8;3876.0;3789.8;3703.7;3789.8;3617.6;3789.8;3789.8	7.4	5	-14.8;0.0;0.0;0.0;-14.8;0.0;-14.8;-29.7;0.0;-14.8;-29.7;0.0;296.8;0.0;0.0;0.0;0.0;0.0;14.8;0.0;14.8;14.8;0.0;14.8;-14.8;-14.8;14.8;-29.7;29.7;0.0
4	Waveform 1	1	1.286381430	1.464321317	1676.4	5737.2			0.178		4060.9						
4	Spectrogram 1	1	1.286381430	1.464321317	1676.4	5737.2	3531.4	3703.7	0.178	172.3	4060.9	3703.7	2.029	2411.7;2411.7;2411.7;2411.7;2411.7;2239.5;2325.6;2153.3;2067.2;1981.1;1981.1;1894.9;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3703.7;3703.7;3789.8;3789.8;3703.7;3617.6;3789.8;3789.8;3789.8;3789.8	7.9	5	0.0;0.0;0.0;0.0;-29.7;14.8;-29.7;-14.8;-14.8;0.0;-14.8;-14.8;0.0;296.8;0.0;0.0;0.0;0.0;14.8;14.8;0.0;0.0;14.8;0.0;-14.8;-14.8;29.7;0.0;0.0;0.0
6	Waveform 1	1	1.653255001	1.833811651	1676.4	5662.0			0.181		3985.7						
6	Spectrogram 1	1	1.653255001	1.833811651	1676.4	5662.0	3531.4	3703.7	0.181	172.3	3985.7	3703.7	2.070	2411.7;2411.7;2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2067.2;2067.2;1981.1;1981.1;1808.8;1808.8;3445.3;3445.3;3445.3;3445.3;3445.3;3531.4;3617.6;3617.6;3703.7;3703.7;3789.8;3703.7;3703.7;3703.7;3703.7;3703.7;3703.7	7.4	2	0.0;0.0;0.0;0.0;-14.8;0.0;-14.8;-29.7;0.0;-14.8;0.0;-29.7;0.0;281.9;0.0;0.0;0.0;0.0;14.8;14.8;0.0;14.8;0.0;14.8;-14.8;0.0;0.0;0.0;0.0;0.0
7	Waveform 1	1	2.041880757	2.214587118	1676.4	5461.5			0.173		3785.1						
7	Spectrogram 1	1	2.041880757	2.214587118	1676.4	5461.5	3531.4	3789.8	0.173	258.4	3785.1	3703.7	1.975	2325.6;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1808.8;1808.8;1894.9;3445.3;3445.3;3445.3;3445.3;3531.4;3617.6;3617.6;3703.7;3703.7;3789.8;3789.8;3703.7;3617.6;3703.7;3703.7;3617.6	7.9	5	14.8;0.0;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-29.7;0.0;14.8;267.1;0.0;0.0;0.0;14.8;14.8;0.0;14.8;0.0;14.8;0.0;-14.8;-14.8;14.8;0.0;-14.8
