Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.276068501	0.450083243	1698.8	4147.5			0.174		2448.7						
1	Spectrogram 1	1	0.276068501	0.450083243	1698.8	4147.5	3617.6	3876.0	0.174	258.4	2448.7	3876.0	2.076	2497.9;2497.9;2497.9;2497.9;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3703.7;3789.8;3876.0;3962.1;3876.0;3876.0;3876.0;3962.1;3876.0;3876.0	8.5	4	0.0;0.0;0.0;-29.7;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;296.8;0.0;0.0;0.0;14.8;0.0;14.8;14.8;14.8;14.8;-14.8;0.0;0.0;14.8;-14.8;0.0
2	Waveform 1	1	0.641654143	0.830061082	1673.8	4097.5			0.188		2423.7						
2	Spectrogram 1	1	0.641654143	0.830061082	1673.8	4097.5	2411.7	3789.8	0.188	1378.1	2423.7	3789.8	2.071	2497.9;2411.7;2411.7;2411.7;2325.6;2239.5;2239.5;2153.3;1981.1;1981.1;1808.8;1808.8;1808.8;1808.8;3445.3;3531.4;3531.4;3617.6;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3876.0;3789.8;3703.7;3876.0;3789.8;3789.8;3703.7	6.9	4	-14.8;0.0;0.0;-14.8;-14.8;0.0;-14.8;-29.7;0.0;-29.7;0.0;0.0;0.0;281.9;14.8;0.0;14.8;0.0;14.8;0.0;14.8;0.0;0.0;14.8;-14.8;-14.8;29.7;-14.8;0.0;-14.8
3	Waveform 1	1	0.999160867	1.187567806	1698.8	4022.6			0.188		2323.8						
3	Spectrogram 1	1	0.999160867	1.187567806	1698.8	4022.6	2325.6	3789.8	0.188	1464.3	2323.8	3789.8	2.043	2411.7;2497.9;2325.6;2411.7;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3703.7	7.2	5	14.8;-29.7;14.8;0.0;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;0.0;296.8;0.0;0.0;0.0;0.0;0.0;14.8;14.8;0.0;14.8;0.0;0.0;0.0;0.0;0.0;0.0;-14.8
4	Waveform 1	1	1.357784187	1.540957600	1698.8	3972.6			0.183		2273.8						
4	Spectrogram 1	1	1.357784187	1.540957600	1698.8	3972.6	2325.6	3703.7	0.183	1378.1	2273.8	3789.8	2.060	2928.5;2411.7;2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1808.8;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3617.6;3531.4;3617.6;3531.4;3703.7;3789.8;3789.8;3789.8;3703.7;3789.8;3789.8;3789.8;3789.8	4.8	7	-89.0;0.0;0.0;0.0;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-29.7;0.0;0.0;296.8;0.0;0.0;0.0;14.8;-14.8;14.8;-14.8;29.7;14.8;0.0;0.0;-14.8;14.8;0.0;0.0;0.0
5	Waveform 1	1	1.724959935	1.909441729	1673.8	3972.6			0.184		2298.8						
5	Spectrogram 1	1	1.724959935	1.909441729	1673.8	3972.6	2325.6	3789.8	0.184	1464.3	2298.8	3789.8	1.906	2411.7;2411.7;2411.7;2411.7;2325.6;2239.5;2153.3;2067.2;2067.2;1981.1;1894.9;1808.8;1808.8;1722.7;3445.3;3445.3;3445.3;3445.3;3531.4;3617.6;3617.6;3703.7;3703.7;3789.8;3789.8;3703.7;3703.7;3789.8;3789.8;3703.7;3789.8	7.9	5	0.0;0.0;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;0.0;-14.8;296.8;0.0;0.0;0.0;14.8;14.8;0.0;14.8;0.0;14.8;0.0;-14.8;0.0;14.8;0.0;-14.8;14.8
6	Waveform 1	1	2.091423249	2.277213425	1673.8	3972.6			0.186		2298.8						
6	Spectrogram 1	1	2.091423249	2.277213425	1673.8	3972.6	2325.6	3789.8	0.186	1464.3	2298.8	3789.8	1.955	2325.6;2325.6;2325.6;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1981.1;1808.8;1808.8;1808.8;3531.4;3445.3;3445.3;3445.3;3531.4;3531.4;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3703.7;3703.7;3789.8;3789.8;3789.8;3703.7	7.9	6	0.0;0.0;0.0;-14.8;0.0;-14.8;-14.8;-14.8;0.0;-29.7;0.0;0.0;296.8;-14.8;0.0;0.0;14.8;0.0;14.8;14.8;0.0;14.8;0.0;0.0;-14.8;0.0;14.8;0.0;0.0;-14.8
