Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.052255905	0.235732195	1870.8	3641.3			0.183		1770.6						
1	Spectrogram 1	1	0.052255905	0.235732195	1870.8	3641.3	3000.0	3187.5	0.183	187.5	1770.6	3187.5	1.743	2250.0;2250.0;2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;3187.5;3187.5;3187.5;3000.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;2437.5;3187.5;3187.5;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3000.0;2812.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3187.5;3375.0;3187.5;3000.0;3000.0;3000.0;3187.5;3187.5;3187.5;3187.5;3375.0	6.3	0.0;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;281.2;0.0;0.0;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-351.6;281.2;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;-70.3;70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;70.3;-70.3;-70.3;0.0;0.0;70.3;0.0;0.0;0.0;70.3	8
2	Waveform 1	1	0.428844694	0.607676014	1837.4	3774.9			0.179		1937.6						
2	Spectrogram 1	1	0.428844694	0.607676014	1837.4	3774.9	3187.5	3187.5	0.179	0.0	1937.6	3187.5	1.857	3375.0;3375.0;2250.0;2250.0;2437.5;2250.0;2250.0;3000.0;3000.0;3000.0;2250.0;2250.0;2250.0;2250.0;2250.0;2250.0;3000.0;3000.0;3000.0;3000.0;2437.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3375.0;3375.0;3187.5;3375.0;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3000.0;3187.5;3187.5;3187.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3187.5;3187.5;3187.5;3375.0;3187.5;3187.5;3187.5	-1.1	0.0;-421.9;0.0;70.3;-70.3;0.0;281.2;0.0;0.0;-281.2;0.0;0.0;0.0;0.0;0.0;281.2;0.0;0.0;0.0;-210.9;281.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;0.0;-70.3;70.3;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;70.3;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;70.3;-70.3;0.0;0.0	14
3	Waveform 1	1	0.817918053	0.990090121	1937.6	3741.5			0.172		1804.0						
3	Spectrogram 1	1	0.817918053	0.990090121	1937.6	3741.5	3187.5	3375.0	0.172	187.5	1804.0	3187.5	1.710	2250.0;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3375.0;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3000.0;3000.0;3187.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;3187.5;3375.0;3375.0;3000.0;3187.5;3187.5;3187.5;3375.0;3187.5;3000.0;3000.0	4.5	70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;281.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;-70.3;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;0.0;0.0;70.3;70.3;0.0;-140.6;70.3;0.0;0.0;70.3;-70.3;-70.3;0.0	7
4	Waveform 1	1	1.175047299	1.367391036	2071.2	3774.9			0.192		1703.7						
4	Spectrogram 1	1	1.175047299	1.367391036	2071.2	3774.9	3000.0	3187.5	0.192	187.5	1703.7	3187.5	1.766	2437.5;2437.5;2437.5;2437.5;2625.0;2437.5;3000.0;2812.5;3000.0;2437.5;2812.5;3000.0;3000.0;2812.5;3000.0;3187.5;3187.5;3187.5;3187.5;3000.0;3000.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3187.5;3187.5;3187.5;3187.5;3187.5;3187.5;3375.0;3187.5;3187.5;3187.5;3187.5;3375.0;3187.5;3187.5;3187.5;3187.5;3000.0;3000.0;3000.0;3000.0;3000.0;3000.0;2812.5;3000.0;3000.0;3000.0;3187.5;3187.5;3000.0;3187.5;3187.5;3187.5;3000.0;3000.0;3187.5;3187.5;3000.0	3.0	0.0;0.0;0.0;70.3;-70.3;210.9;-70.3;70.3;-210.9;140.6;70.3;0.0;-70.3;70.3;70.3;0.0;0.0;0.0;-70.3;0.0;70.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;70.3;-70.3;0.0;0.0;0.0;-70.3;0.0;0.0;0.0;0.0;0.0;-70.3;70.3;0.0;0.0;70.3;0.0;-70.3;70.3;0.0;0.0;-70.3;0.0;70.3;0.0;-70.3	21
