Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.044788445	0.303281754	1035.6	5211.4			0.258		4175.8						
1	Spectrogram 1	1	0.044788445	0.303281754	1035.6	5211.4	3093.8	3375.0	0.258	281.2	4175.8	3375.0	2.880	2437.5;2437.5;2531.2;2437.5;2437.5;2437.5;2531.2;2531.2;2437.5;2250.0;2062.5;2156.2;1875.0;2062.5;2062.5;1875.0;1968.8;2250.0;2250.0;1781.2;1781.2;2062.5;1968.8;1968.8;2343.8;2437.5;2437.5;2625.0;2812.5;3000.0;3093.8;3281.2;3375.0;3375.0;3375.0;3375.0;3375.0;3093.8;3000.0;3187.5;3000.0;2906.2;2906.2;2906.2;2906.2;3375.0;3375.0	3.8	0.0;17.6;-17.6;0.0;0.0;17.6;0.0;-17.6;-35.2;-35.2;17.6;-52.7;35.2;0.0;-35.2;17.6;52.7;0.0;-87.9;0.0;52.7;-17.6;0.0;70.3;17.6;0.0;35.2;35.2;35.2;17.6;35.2;17.6;0.0;0.0;0.0;0.0;-52.7;-17.6;35.2;-35.2;-17.6;0.0;0.0;0.0;87.9;0.0	16
2	Waveform 1	1	0.492672892	0.740928843	1069.0	5111.2			0.248		4042.2						
2	Spectrogram 1	1	0.492672892	0.740928843	1069.0	5111.2	2812.5	3281.2	0.248	468.8	4042.2	3375.0	2.621	2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2343.8;2437.5;2156.2;1968.8;1875.0;2437.5;2062.5;2437.5;2250.0;2250.0;2343.8;2250.0;2625.0;2437.5;2062.5;2250.0;2437.5;2531.2;2625.0;2812.5;2906.2;3093.8;3093.8;3281.2;3375.0;3281.2;3281.2;3281.2;3093.8;3093.8;2906.2;2906.2;2906.2;2906.2;2906.2;3000.0;3000.0;3000.0	2.3	0.0;0.0;0.0;0.0;0.0;0.0;0.0;-17.6;17.6;-52.7;-35.2;-17.6;105.5;-70.3;70.3;-35.2;0.0;17.6;-17.6;70.3;-35.2;-70.3;35.2;35.2;17.6;17.6;35.2;17.6;35.2;0.0;35.2;17.6;-17.6;0.0;0.0;-35.2;0.0;-35.2;0.0;0.0;0.0;0.0;17.6;0.0;0.0	13
3	Waveform 1	1	0.939415788	1.195349758	1069.0	5144.6			0.256		4075.6						
3	Spectrogram 1	1	0.939415788	1.195349758	1069.0	5144.6	2812.5	3281.2	0.256	468.8	4075.6	3375.0	2.585	2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2437.5;2250.0;2156.2;2156.2;1968.8;1875.0;2437.5;2437.5;2437.5;1875.0;1593.8;2343.8;2437.5;2812.5;2812.5;2250.0;2437.5;2625.0;2718.8;2906.2;3000.0;3093.8;3281.2;3281.2;3375.0;3375.0;3375.0;3187.5;3093.8;3000.0;3000.0;2906.2;2906.2;2906.2;2906.2;2812.5;2906.2;3375.0;3375.0;3093.8	2.7	0.0;0.0;0.0;0.0;0.0;0.0;0.0;-35.2;-17.6;0.0;-35.2;-17.6;105.5;0.0;0.0;-105.5;-52.7;140.6;17.6;70.3;0.0;-105.5;35.2;35.2;17.6;35.2;17.6;17.6;35.2;0.0;17.6;0.0;0.0;-35.2;-17.6;-17.6;0.0;-17.6;0.0;0.0;0.0;-17.6;17.6;87.9;0.0;-52.7	8
4	Waveform 1	1	1.386360177	1.632056788	1135.8	5077.8			0.246		3942.0						
4	Spectrogram 1	1	1.386360177	1.632056788	1135.8	5077.8	2718.8	3093.8	0.246	375.0	3942.0	3093.8	2.645	2250.0;2343.8;2343.8;2343.8;2437.5;2437.5;2437.5;2343.8;2250.0;2437.5;2062.5;1968.8;1875.0;2062.5;2062.5;2437.5;1781.2;2343.8;2343.8;2625.0;2343.8;2437.5;2156.2;2156.2;2343.8;2531.2;2625.0;2812.5;2906.2;3093.8;3093.8;3281.2;3281.2;3281.2;3281.2;3093.8;3093.8;3000.0;3000.0;2906.2;2812.5;2906.2;2812.5;3093.8;3000.0;3000.0	3.1	17.6;0.0;0.0;17.6;0.0;0.0;-17.6;-17.6;35.2;-70.3;-17.6;-17.6;35.2;0.0;70.3;-123.0;105.5;0.0;52.7;-52.7;17.6;-52.7;0.0;35.2;35.2;17.6;35.2;17.6;35.2;0.0;35.2;0.0;0.0;0.0;-35.2;0.0;-17.6;0.0;-17.6;-17.6;17.6;-17.6;52.7;-17.6;0.0	15
