Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.106284221	0.252425025	1718.8	3897.9			0.146		2179.2						
1	Spectrogram 1	1	0.106284221	0.252425025	1718.8	3897.9	2584.0	2842.4	0.146	258.4	2179.2	2756.2	2.365	3100.8;3100.8;2756.2;2756.2;2756.2;2756.2;2842.4;2842.4;2584.0;2756.2;2756.2;2842.4;3703.7;1894.9;1894.9;1981.1;2067.2;2411.7;2584.0;2842.4;2756.2;2584.0;2584.0;2584.0	-3.9	0.0;-59.4;0.0;0.0;0.0;14.8;0.0;-44.5;29.7;0.0;14.8;148.4;-311.6;0.0;14.8;14.8;59.4;29.7;44.5;-14.8;-29.7;0.0;0.0	6
2	Waveform 1	1	0.406905962	0.561222476	1657.4	3836.5			0.154		2179.2						
2	Spectrogram 1	1	0.406905962	0.561222476	1657.4	3836.5	2497.9	2756.2	0.154	258.4	2179.2	2756.2	2.301	3100.8;2497.9;2584.0;2584.0;2670.1;2670.1;2756.2;2756.2;2756.2;2497.9;2670.1;2584.0;2670.1;1808.8;1808.8;1894.9;1981.1;2067.2;2325.6;2497.9;2756.2;2756.2;2497.9;2670.1;2584.0	-3.7	-103.9;14.8;0.0;14.8;0.0;14.8;0.0;0.0;-44.5;29.7;-14.8;14.8;-148.4;0.0;14.8;14.8;14.8;44.5;29.7;44.5;0.0;-44.5;29.7;-14.8	10
3	Waveform 1	1	1.339452661	1.492747211	1688.1	3990.0			0.153		2301.9						
3	Spectrogram 1	1	1.339452661	1.492747211	1688.1	3990.0	2497.9	2670.1	0.153	172.3	2301.9	2584.0	2.484	3100.8;3100.8;3100.8;2497.9;2497.9;2584.0;2670.1;2670.1;2756.2;2670.1;2756.2;2325.6;2584.0;2670.1;2670.1;2670.1;1894.9;1981.1;2067.2;2239.5;2497.9;2584.0;2670.1;2584.0;2325.6;2584.0;2670.1	-2.9	0.0;0.0;-103.9;0.0;14.8;14.8;0.0;14.8;-14.8;14.8;-74.2;44.5;14.8;0.0;0.0;-133.5;14.8;14.8;29.7;44.5;14.8;14.8;-14.8;-44.5;44.5;14.8	9
4	Waveform 1	1	1.675204819	1.830543296	1688.1	3805.8			0.155		2117.8						
4	Spectrogram 1	1	1.675204819	1.830543296	1688.1	3805.8	2411.7	2670.1	0.155	258.4	2117.8	2584.0	2.384	3100.8;3100.8;2325.6;2497.9;2584.0;2584.0;2670.1;2670.1;2670.1;2670.1;2411.7;2584.0;2497.9;2670.1;1808.8;1894.9;1894.9;1981.1;2153.3;2411.7;2584.0;2670.1;2584.0;2497.9;2584.0;2670.1;2670.1	-2.9	0.0;-133.5;29.7;14.8;0.0;14.8;0.0;0.0;0.0;-44.5;29.7;-14.8;29.7;-148.4;14.8;0.0;14.8;29.7;44.5;29.7;14.8;-14.8;-14.8;14.8;14.8;0.0	9
