Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.149825369	0.376032299	2948.1	4210.0			0.226		1261.9						
1	Spectrogram 1	1	0.149825369	0.376032299	2948.1	4210.0	3186.9	3876.0	0.226	689.1	1261.9	3273.0	2.222	4048.2;3876.0;3962.1;3876.0;3876.0;3876.0;3876.0;3962.1;3962.1;3876.0;3876.0;3876.0;3876.0;4048.2;4048.2;4048.2;3962.1;3876.0;3962.1;3876.0;3359.2;3273.0;3186.9;3186.9;3100.8;3100.8;3100.8;3100.8;3100.8;3186.9;3273.0;3273.0;3273.0;3273.0;3273.0;3445.3;3273.0;3100.8	-4.4	-29.7;14.8;-14.8;0.0;0.0;0.0;14.8;0.0;-14.8;0.0;0.0;0.0;29.7;0.0;0.0;-14.8;-14.8;14.8;-14.8;-89.0;-14.8;-14.8;0.0;-14.8;0.0;0.0;0.0;0.0;14.8;14.8;0.0;0.0;0.0;0.0;29.7;-29.7;-29.7	10
2	Waveform 1	1	0.563903000	0.813179552	2882.0	4099.6			0.249		1217.6						
2	Spectrogram 1	1	0.563903000	0.813179552	2882.0	4099.6	3273.0	3876.0	0.249	602.9	1217.6	3876.0	2.263	3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3962.1;3789.8;3789.8;3876.0;3876.0;3876.0;3876.0;4048.2;3789.8;3789.8;3876.0;3962.1;3359.2;3273.0;3273.0;3186.9;3186.9;3876.0;3100.8;3100.8;3100.8;3100.8;3100.8;3186.9;3273.0;3273.0;3273.0;3273.0;3273.0;3273.0;3273.0;3100.8;3273.0;3186.9	-2.9	0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.8;-29.7;0.0;14.8;0.0;0.0;0.0;29.7;-44.5;0.0;14.8;14.8;-103.9;-14.8;0.0;-14.8;0.0;118.7;-133.5;0.0;0.0;0.0;0.0;14.8;14.8;0.0;0.0;0.0;0.0;0.0;0.0;-29.7;29.7;-14.8	11
3	Waveform 1	1	0.989525535	1.236724782	2948.4	4077.5			0.247		1129.1						
3	Spectrogram 1	1	0.989525535	1.236724782	2948.4	4077.5	3273.0	3789.8	0.247	516.8	1129.1	3273.0	2.330	4048.2;4048.2;3789.8;3876.0;3789.8;3703.7;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3789.8;3876.0;3359.2;3359.2;3273.0;3273.0;3359.2;3186.9;3186.9;3100.8;3100.8;3100.8;3186.9;3186.9;3100.8;3273.0;3359.2;3359.2;3359.2;3100.8;3876.0;3359.2;3359.2;3876.0	-0.7	0.0;-44.5;14.8;-14.8;-14.8;29.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-14.8;14.8;-89.0;0.0;-14.8;0.0;14.8;-29.7;0.0;-14.8;0.0;0.0;14.8;0.0;-14.8;29.7;14.8;0.0;0.0;-44.5;133.5;-89.0;0.0;89.0	15
4	Waveform 1	1	1.417163954	1.668517811	2948.4	4077.5			0.251		1129.1						
4	Spectrogram 1	1	1.417163954	1.668517811	2948.4	4077.5	3186.9	3789.8	0.251	602.9	1129.1	3273.0	2.474	3962.1;3962.1;3876.0;3962.1;3789.8;3789.8;3789.8;3789.8;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3789.8;3876.0;3876.0;3617.6;3789.8;3876.0;3876.0;3359.2;3273.0;3876.0;3186.9;3100.8;3186.9;3100.8;3876.0;3789.8;3100.8;3186.9;3186.9;3100.8;3100.8;3273.0;3273.0;3273.0;3359.2;3359.2;3273.0;3359.2;3789.8	-0.7	0.0;-14.8;14.8;-29.7;0.0;0.0;0.0;14.8;0.0;0.0;0.0;0.0;0.0;-14.8;14.8;0.0;-44.5;29.7;14.8;0.0;-89.0;-14.8;103.9;-118.7;-14.8;14.8;-14.8;133.5;-14.8;-118.7;14.8;0.0;-14.8;0.0;29.7;0.0;0.0;14.8;0.0;-14.8;14.8;74.2	19
5	Waveform 1	1	1.853397920	2.117215604	2859.8	4099.6			0.264		1239.8						
5	Spectrogram 1	1	1.853397920	2.117215604	2859.8	4099.6	3186.9	3789.8	0.264	602.9	1239.8	3789.8	2.291	3100.8;3962.1;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3789.8;3876.0;3876.0;3359.2;3273.0;3273.0;3100.8;3186.9;3100.8;3014.6;3100.8;3014.6;3100.8;3014.6;3100.8;3186.9;3100.8;3273.0;3273.0;3186.9;3186.9;3100.8;3014.6;3014.6;3273.0;3273.0	0.7	148.4;-29.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.8;0.0;0.0;0.0;0.0;0.0;0.0;-14.8;14.8;0.0;-89.0;-14.8;0.0;-29.7;14.8;-14.8;-14.8;14.8;-14.8;14.8;-14.8;14.8;14.8;-14.8;29.7;0.0;-14.8;0.0;-14.8;-14.8;0.0;44.5;0.0	16
