Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.227658385	0.392514456	1648.8	5846.6			0.165		4197.8						
1	Spectrogram 1	1	0.227658385	0.392514456	1648.8	5846.6	3531.4	3703.7	0.165	172.3	4197.8	3703.7	2.033	2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2239.5;2067.2;1981.1;1894.9;1808.8;1808.8;1808.8;3531.4;3445.3;3445.3;3531.4;3531.4;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3703.7;3531.4;3789.8	9.1	5	0.0;0.0;-14.8;0.0;-14.8;0.0;-29.7;-14.8;-14.8;-14.8;0.0;0.0;296.8;-14.8;0.0;14.8;0.0;14.8;14.8;0.0;14.8;0.0;0.0;-14.8;-29.7;44.5
2	Waveform 1	1	0.582668448	0.755374808	1648.8	5746.6			0.173		4097.8						
2	Spectrogram 1	1	0.582668448	0.755374808	1648.8	5746.6	3531.4	3789.8	0.173	258.4	4097.8	3789.8	1.963	2411.7;2325.6;2411.7;2411.7;2411.7;2239.5;2153.3;2153.3;1981.1;1981.1;1894.9;1808.8;1808.8;1722.7;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3876.0	9.0	3	-14.8;14.8;0.0;0.0;-29.7;-14.8;0.0;-29.7;0.0;-14.8;-14.8;0.0;-14.8;311.6;0.0;0.0;0.0;0.0;0.0;29.7;0.0;14.8;0.0;0.0;0.0;0.0;0.0;14.8
3	Waveform 1	1	0.944157141	1.122097028	1673.8	5746.6			0.178		4072.8						
3	Spectrogram 1	1	0.944157141	1.122097028	1673.8	5746.6	3445.3	3789.8	0.178	344.5	4072.8	3789.8	1.919	2411.7;2325.6;2411.7;2411.7;2325.6;2325.6;2153.3;2153.3;1981.1;1981.1;1894.9;1808.8;1808.8;1808.8;1808.8;3445.3;3445.3;3445.3;3445.3;3531.4;3531.4;3617.6;3617.6;3703.7;3789.8;3789.8;3789.8;3703.7;3789.8;3789.8;3876.0	8.4	5	-14.8;14.8;0.0;-14.8;0.0;-29.7;0.0;-29.7;0.0;-14.8;-14.8;0.0;0.0;0.0;281.9;0.0;0.0;0.0;14.8;0.0;14.8;0.0;14.8;14.8;0.0;0.0;-14.8;14.8;0.0;14.8
4	Waveform 1	1	1.303440568	1.477455310	1648.8	5746.6			0.174		4097.8						
4	Spectrogram 1	1	1.303440568	1.477455310	1648.8	5746.6	3531.4	3789.8	0.174	258.4	4097.8	3789.8	2.011	3789.8;2411.7;2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;1981.1;1981.1;1894.9;1808.8;1808.8;3445.3;3445.3;3445.3;3445.3;3531.4;3531.4;3531.4;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3531.4	-1.5	2	-237.4;0.0;0.0;0.0;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;0.0;281.9;0.0;0.0;0.0;14.8;0.0;0.0;29.7;14.8;0.0;0.0;0.0;0.0;0.0;-44.5
6	Waveform 1	1	1.669617098	1.839706696	1648.8	5746.6			0.170		4097.8						
6	Spectrogram 1	1	1.669617098	1.839706696	1648.8	5746.6	3531.4	3789.8	0.170	258.4	4097.8	3789.8	1.891	2325.6;2411.7;2325.6;2325.6;2325.6;2325.6;2239.5;2153.3;2153.3;1981.1;1981.1;1894.9;1894.9;1808.8;1808.8;3531.4;3445.3;3445.3;3445.3;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3703.7;3531.4	7.4	5	14.8;-14.8;0.0;0.0;0.0;-14.8;-14.8;0.0;-29.7;0.0;-14.8;0.0;-14.8;0.0;296.8;-14.8;0.0;0.0;14.8;0.0;14.8;14.8;14.8;0.0;0.0;0.0;-14.8;-29.7
