Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.534020091	0.726797680	2066.4	3663.1			0.193		1596.7						
1	Spectrogram 1	1	0.534020091	0.726797680	2066.4	3663.1	3186.9	3531.4	0.193	344.5	1596.7	3531.4	2.752	2239.5;2670.1;2756.2;2411.7;2928.5;3014.6;2842.4;3014.6;3186.9;3531.4;3531.4;3531.4;3445.3;3445.3;3445.3;3531.4;3445.3;3531.4;3186.9;3531.4;3445.3;3531.4;3531.4;3531.4;3531.4;3445.3;3531.4;3531.4;3531.4;3445.3;3531.4;2325.6;2239.5	0.0	74.2;14.8;-59.4;89.0;14.8;-29.7;29.7;29.7;59.4;0.0;0.0;-14.8;0.0;0.0;14.8;-14.8;14.8;-59.4;59.4;-14.8;14.8;0.0;0.0;0.0;-14.8;14.8;0.0;0.0;-14.8;14.8;-207.7;-14.8	17
2	Waveform 1	1	0.848232381	1.013687162	2160.3	3725.7			0.165		1565.4						
2	Spectrogram 1	1	0.848232381	1.013687162	2160.3	3725.7	3100.8	3531.4	0.165	430.7	1565.4	3186.9	2.950	2842.4;2842.4;3100.8;3100.8;3100.8;3100.8;3186.9;3531.4;3531.4;3100.8;3531.4;3359.2;3273.0;3531.4;3186.9;3186.9;3186.9;3100.8;3617.6;3531.4;3445.3;3531.4;3100.8;3531.4;3531.4;3445.3;3100.8	1.7	0.0;44.5;0.0;0.0;0.0;14.8;59.4;0.0;-74.2;74.2;-29.7;-14.8;44.5;-59.4;0.0;0.0;-14.8;89.0;-14.8;-14.8;14.8;-74.2;74.2;0.0;-14.8;-59.4	11
3	Waveform 1	1	1.125399496	1.293890144	2129.0	3694.4			0.168		1565.4						
3	Spectrogram 1	1	1.125399496	1.293890144	2129.0	3694.4	3100.8	3531.4	0.168	430.7	1565.4	3100.8	2.901	3186.9;2497.9;2756.2;2842.4;3100.8;3100.8;3100.8;3100.8;3186.9;3273.0;3445.3;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3445.3;3273.0;3186.9;3531.4;3100.8;3531.4;3531.4;3186.9;3186.9;3531.4;3531.4;3531.4	2.1	-118.7;44.5;14.8;44.5;0.0;0.0;0.0;14.8;14.8;29.7;14.8;0.0;0.0;0.0;0.0;0.0;-14.8;-29.7;-14.8;59.4;-74.2;74.2;0.0;-59.4;0.0;59.4;0.0;0.0	7
4	Waveform 1	1	1.414280635	1.584289217	2129.0	3694.4			0.170		1565.4						
4	Spectrogram 1	1	1.414280635	1.584289217	2129.0	3694.4	3014.6	3531.4	0.170	516.8	1565.4	3100.8	3.163	3186.9;3100.8;2584.0;2842.4;2928.5;2756.2;2497.9;2411.7;3186.9;3445.3;3531.4;3531.4;3531.4;3100.8;3445.3;3531.4;3531.4;3531.4;3531.4;3100.8;3100.8;3445.3;3531.4;3531.4;3186.9;3100.8;3445.3;3531.4;3531.4	2.1	-14.8;-89.0;44.5;14.8;-29.7;-44.5;-14.8;133.5;44.5;14.8;0.0;0.0;-74.2;59.4;14.8;0.0;0.0;0.0;-74.2;0.0;59.4;14.8;0.0;-59.4;-14.8;59.4;14.8;0.0	9
5	Waveform 1	1	1.695503849	1.860958630	2129.0	3757.0			0.165		1628.0						
5	Spectrogram 1	1	1.695503849	1.860958630	2129.0	3757.0	3100.8	3531.4	0.165	430.7	1628.0	3186.9	3.124	2756.2;2928.5;2928.5;3014.6;3100.8;3100.8;3100.8;3186.9;3100.8;3445.3;3359.2;3100.8;3531.4;3014.6;3531.4;3531.4;3359.2;3186.9;3531.4;3359.2;3100.8;3531.4;3531.4;3359.2;3531.4;3359.2;3100.8;3359.2	3.8	29.7;0.0;14.8;14.8;0.0;0.0;14.8;-14.8;59.4;-14.8;-44.5;74.2;-89.0;89.0;0.0;-29.7;-29.7;59.4;-29.7;-44.5;74.2;0.0;-29.7;29.7;-29.7;-44.5;44.5	14
6	Waveform 1	1	2.910290991	3.110658249	2191.6	3725.7			0.200		1534.1						
6	Spectrogram 1	1	2.910290991	3.110658249	2191.6	3725.7	3100.8	3531.4	0.200	430.7	1534.1	3531.4	2.693	2497.9;2584.0;2928.5;3014.6;3100.8;3014.6;3100.8;3186.9;3445.3;3531.4;3531.4;3100.8;3186.9;3445.3;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3445.3;3100.8;3100.8;3100.8;3445.3;3445.3;3531.4;3531.4;3531.4;3531.4;3100.8;3531.4	5.6	14.8;59.4;14.8;14.8;-14.8;14.8;14.8;44.5;14.8;0.0;-74.2;14.8;44.5;14.8;0.0;0.0;0.0;0.0;0.0;0.0;-14.8;-59.4;0.0;0.0;59.4;0.0;14.8;0.0;0.0;0.0;-74.2;74.2	8
7	Waveform 1	1	3.212950257	3.385755664	2222.9	3757.0			0.173		1534.1						
7	Spectrogram 1	1	3.212950257	3.385755664	2222.9	3757.0	3100.8	3531.4	0.173	430.7	1534.1	3531.4	2.706	3445.3;3014.6;3014.6;3100.8;3100.8;3100.8;3100.8;3186.9;3100.8;3531.4;3100.8;3617.6;3617.6;3531.4;3100.8;3531.4;3100.8;3186.9;3100.8;3445.3;3531.4;3100.8;3100.8;3014.6;3445.3;3531.4;3617.6;3100.8;3273.0	-1.1	-74.2;0.0;14.8;0.0;0.0;0.0;14.8;-14.8;74.2;-74.2;89.0;0.0;-14.8;-74.2;74.2;-74.2;14.8;-14.8;59.4;14.8;-74.2;0.0;-14.8;74.2;14.8;14.8;-89.0;29.7	15
8	Waveform 1	1	3.510846424	3.683890874	2129.0	3663.1			0.173		1534.1						
8	Spectrogram 1	1	3.510846424	3.683890874	2129.0	3663.1	3100.8	3445.3	0.173	344.5	1534.1	3100.8	2.718	2584.0;2842.4;3014.6;3100.8;3100.8;3100.8;3186.9;3445.3;3531.4;3531.4;3445.3;3445.3;3531.4;3531.4;3100.8;3445.3;3273.0;3445.3;3531.4;3359.2;3359.2;3531.4;3531.4;3445.3;3531.4;3445.3;3445.3;3445.3;3531.4	5.8	44.5;29.7;14.8;0.0;0.0;14.8;44.5;14.8;0.0;-14.8;0.0;14.8;0.0;-74.2;59.4;-29.7;29.7;14.8;-29.7;0.0;29.7;0.0;-14.8;14.8;-14.8;0.0;0.0;14.8	12
