Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.260367923	0.444849717	1648.8	4072.5			0.184		2423.7						
1	Spectrogram 1	1	0.260367923	0.444849717	1648.8	4072.5	3531.4	3789.8	0.184	258.4	2423.7	3617.6	2.070	2497.9;2411.7;2411.7;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3789.8;3789.8;3876.0;3876.0;3876.0;3876.0;3617.6;3876.0;3876.0;3876.0;3876.0	7.9	3	-14.8;0.0;0.0;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;0.0;296.8;0.0;0.0;0.0;14.8;0.0;29.7;0.0;14.8;0.0;0.0;0.0;-44.5;44.5;0.0;0.0;0.0
2	Waveform 1	1	0.618864459	0.804654635	1648.8	4022.6			0.186		2373.7						
2	Spectrogram 1	1	0.618864459	0.804654635	1648.8	4022.6	3531.4	3789.8	0.186	258.4	2373.7	3703.7	2.109	2497.9;2411.7;2411.7;2411.7;2325.6;2239.5;2153.3;2153.3;2067.2;1981.1;1894.9;1808.8;1722.7;1722.7;1722.7;3445.3;3445.3;3445.3;3531.4;3617.6;3617.6;3703.7;3789.8;3789.8;3789.8;3789.8;3617.6;3789.8;3789.8;3876.0;3789.8	7.4	4	-14.8;0.0;0.0;-14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;0.0;296.8;0.0;0.0;14.8;14.8;0.0;14.8;14.8;0.0;0.0;0.0;-29.7;29.7;0.0;14.8;-14.8
3	Waveform 1	1	0.982996042	1.157010785	1673.8	3972.6			0.174		2298.8						
3	Spectrogram 1	1	0.982996042	1.157010785	1673.8	3972.6	2411.7	3617.6	0.174	1205.9	2298.8	3703.7	2.116	2411.7;2411.7;2411.7;2411.7;2325.6;2325.6;2239.5;2153.3;2153.3;1981.1;1981.1;1808.8;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3703.7;3789.8;3789.8;3531.4;3617.6;3703.7;3703.7;3703.7;3703.7	7.7	3	0.0;0.0;0.0;-14.8;0.0;-14.8;-14.8;0.0;-29.7;0.0;-29.7;0.0;0.0;296.8;0.0;0.0;0.0;0.0;0.0;14.8;14.8;14.8;0.0;-44.5;14.8;14.8;0.0;0.0;0.0
4	Waveform 1	1	1.343979055	1.523227324	1673.8	3972.6			0.179		2298.8						
4	Spectrogram 1	1	1.343979055	1.523227324	1673.8	3972.6	3531.4	3789.8	0.179	258.4	2298.8	3789.8	1.976	2411.7;2411.7;2411.7;2411.7;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1981.1;1808.8;1808.8;1808.8;3531.4;3531.4;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3789.8;3789.8;3789.8;3789.8;3789.8;3703.7;3789.8;3789.8;3789.8	7.9	3	0.0;0.0;0.0;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;0.0;-29.7;0.0;0.0;296.8;0.0;0.0;0.0;0.0;0.0;14.8;0.0;29.7;0.0;0.0;0.0;0.0;-14.8;14.8;0.0;0.0
5	Waveform 1	1	1.704842319	1.893249258	1673.8	3997.6			0.188		2323.8						
5	Spectrogram 1	1	1.704842319	1.893249258	1673.8	3997.6	3531.4	3789.8	0.188	258.4	2323.8	3789.8	2.061	2411.7;2411.7;2239.5;2325.6;2325.6;2325.6;2239.5;2239.5;2153.3;2067.2;1981.1;1894.9;1808.8;1808.8;1808.8;3531.4;3445.3;3531.4;3531.4;3531.4;3617.6;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3789.8;3703.7;3789.8;3789.8;3703.7;3789.8	7.4	9	0.0;-29.7;14.8;0.0;0.0;-14.8;0.0;-14.8;-14.8;-14.8;-14.8;-14.8;0.0;0.0;296.8;-14.8;14.8;0.0;0.0;14.8;0.0;14.8;0.0;14.8;0.0;0.0;0.0;-14.8;14.8;0.0;-14.8;14.8
