Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Avg Entropy (bits)	Delta Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Peak Freq (Hz)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Slope (Hz/ms)	PFC Num Inf Pts
1	Waveform 1	1	0.191009095	0.357283200	1283.0	4286.4				3003.4	0.166						
1	Spectrogram 1	1	0.191009095	0.357283200	1283.0	4286.4	3093.8	3468.8	2.440	3003.4	0.166	375.0	3375.0	2906.2;2906.2;2625.0;2812.5;2718.8;2812.5;2718.8;2718.8;2718.8;2718.8;2625.0;2718.8;2718.8;2531.2;2250.0;2718.8;2718.8;2718.8;2531.2;2812.5;3187.5;3281.2;3375.0;3468.8;3562.5;3468.8;3375.0;3187.5;2906.2;3281.2	2.4	0.0;-52.7;35.2;-17.6;17.6;-17.6;0.0;0.0;0.0;-17.6;17.6;0.0;-35.2;-52.7;87.9;0.0;0.0;-35.2;52.7;70.3;17.6;17.6;17.6;17.6;-17.6;-17.6;-35.2;-52.7;70.3	11
2	Waveform 1	1	0.557911458	0.737927224	1370.5	4519.7				3149.2	0.180						
2	Spectrogram 1	1	0.557911458	0.737927224	1370.5	4519.7	2906.2	3468.8	2.193	3149.2	0.180	562.5	3468.8	2531.2;3000.0;2531.2;2906.2;2718.8;2906.2;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2718.8;2531.2;2343.8;2250.0;2250.0;2343.8;2812.5;3093.8;3281.2;3375.0;3468.8;3468.8;3468.8;3468.8;3375.0;3187.5;2906.2;3468.8;3187.5;3468.8	5.3	87.9;-87.9;70.3;-35.2;35.2;-17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-17.6;-35.2;-35.2;-17.6;0.0;17.6;87.9;52.7;35.2;17.6;17.6;0.0;0.0;0.0;-17.6;-35.2;-52.7;105.5;-52.7;52.7	10
3	Waveform 1	1	0.931684652	1.111700418	1253.8	4432.2				3178.3	0.180						
3	Spectrogram 1	1	0.931684652	1.111700418	1253.8	4432.2	2906.2	3468.8	2.328	3178.3	0.180	562.5	3468.8	3000.0;3000.0;2906.2;2812.5;2906.2;2718.8;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2812.5;2531.2;2343.8;2250.0;2531.2;2812.5;3093.8;3187.5;3375.0;3468.8;3468.8;3468.8;3375.0;3281.2;3093.8;2718.8;3281.2;3375.0;3281.2	1.6	0.0;-17.6;-17.6;17.6;-35.2;17.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-52.7;-35.2;-17.6;52.7;52.7;52.7;17.6;35.2;17.6;0.0;0.0;-17.6;-17.6;-35.2;-70.3;105.5;17.6;-17.6	8
4	Waveform 1	1	1.295838683	1.471731950	1283.0	4373.9				3090.9	0.176						
4	Spectrogram 1	1	1.295838683	1.471731950	1283.0	4373.9	2906.2	3468.8	2.294	3090.9	0.176	562.5	3468.8	3000.0;2906.2;2718.8;2906.2;2718.8;2906.2;2812.5;2812.5;2812.5;2812.5;2812.5;2906.2;2812.5;2718.8;2625.0;2531.2;2343.8;2156.2;2343.8;2718.8;3000.0;3187.5;3375.0;3375.0;3468.8;3468.8;3468.8;3375.0;3187.5;2906.2;3281.2;3375.0	2.3	-17.6;-35.2;35.2;-35.2;35.2;-17.6;0.0;0.0;0.0;0.0;17.6;-17.6;-17.6;-17.6;-17.6;-35.2;-35.2;35.2;70.3;52.7;35.2;35.2;0.0;17.6;0.0;0.0;-17.6;-35.2;-52.7;70.3;17.6	9
6	Waveform 1	1	1.676482707	1.846879310	1428.8	4344.7				2915.9	0.170						
6	Spectrogram 1	1	1.676482707	1.846879310	1428.8	4344.7	2812.5	3468.8	2.221	2915.9	0.170	656.2	3468.8	2906.2;2906.2;2718.8;2718.8;2812.5;2812.5;2812.5;2718.8;2812.5;2812.5;2812.5;2812.5;2718.8;2531.2;2437.5;2343.8;2812.5;2718.8;2812.5;3000.0;3187.5;3375.0;3468.8;3468.8;3468.8;3468.8;3375.0;3187.5;2906.2;3375.0;3468.8	3.5	0.0;-35.2;0.0;17.6;0.0;0.0;-17.6;17.6;0.0;0.0;0.0;-17.6;-35.2;-17.6;-17.6;87.9;-17.6;17.6;35.2;35.2;35.2;17.6;0.0;0.0;0.0;-17.6;-35.2;-52.7;87.9;17.6	9
