Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Delta Time (s)	IQR BW (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Avg Entropy (bits)	Peak Freq Contour (Hz)	PFC Avg Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)
1	Waveform 1	1	0.270834975	0.454008388	1698.8	5696.7			0.183		3997.9						
1	Spectrogram 1	1	0.270834975	0.454008388	1698.8	5696.7	2497.9	3789.8	0.183	1292.0	3997.9	3789.8	2.243	2497.9;2497.9;2497.9;2497.9;2411.7;2325.6;2239.5;2239.5;2153.3;2153.3;1981.1;1894.9;1808.8;1808.8;3617.6;3617.6;3617.6;3617.6;3703.7;3703.7;3789.8;3789.8;3789.8;3876.0;3962.1;3962.1;3876.0;3962.1;3962.1;3962.1;3617.6	6.4	4	0.0;0.0;0.0;-14.8;-14.8;-14.8;0.0;-14.8;0.0;-29.7;-14.8;-14.8;0.0;311.6;0.0;0.0;0.0;14.8;0.0;14.8;0.0;0.0;14.8;14.8;0.0;-14.8;14.8;0.0;0.0;-59.4
2	Waveform 1	1	0.635873419	0.816430069	1673.8	5896.6			0.181		4222.8						
2	Spectrogram 1	1	0.635873419	0.816430069	1673.8	5896.6	3617.6	3789.8	0.181	172.3	4222.8	3703.7	2.031	2497.9;2411.7;2497.9;2497.9;2497.9;2325.6;2325.6;2325.6;2153.3;2153.3;2067.2;1894.9;1894.9;1808.8;3703.7;3703.7;3617.6;3617.6;3617.6;3617.6;3703.7;3703.7;3703.7;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0;3876.0	8.2	5	-14.8;14.8;0.0;0.0;-29.7;0.0;0.0;-29.7;0.0;-14.8;-29.7;0.0;-14.8;326.4;0.0;-14.8;0.0;0.0;0.0;14.8;0.0;0.0;29.7;0.0;0.0;0.0;0.0;0.0;0.0
3	Waveform 1	1	1.002259620	1.189358178	1498.9	5671.7			0.187		4172.8						
3	Spectrogram 1	1	1.002259620	1.189358178	1498.9	5671.7	3531.4	3703.7	0.187	172.3	4172.8	3703.7	2.196	2411.7;2584.0;2411.7;2497.9;2411.7;2325.6;2325.6;2239.5;2153.3;2067.2;2067.2;1894.9;1894.9;1894.9;1808.8;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3703.7;3703.7;3789.8;3876.0;3789.8;3789.8;3703.7;3789.8;3789.8;3789.8;3617.6	6.7	7	29.7;-29.7;14.8;-14.8;-14.8;0.0;-14.8;-14.8;-14.8;0.0;-29.7;0.0;0.0;-14.8;311.6;0.0;0.0;0.0;0.0;0.0;14.8;0.0;14.8;14.8;-14.8;0.0;-14.8;14.8;0.0;0.0;-29.7
4	Waveform 1	1	1.350595692	1.542927775	1573.9	5696.7			0.192		4122.8						
4	Spectrogram 1	1	1.350595692	1.542927775	1573.9	5696.7	3531.4	3703.7	0.192	172.3	4122.8	3703.7	2.192	3789.8;2411.7;2497.9;2411.7;2411.7;2411.7;2411.7;2325.6;2325.6;2153.3;2153.3;2067.2;1981.1;1894.9;1894.9;1808.8;1894.9;3617.6;3617.6;3617.6;3617.6;3617.6;3617.6;3531.4;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3617.6;3617.6	-0.9	6	-237.4;14.8;-14.8;0.0;0.0;0.0;-14.8;0.0;-29.7;0.0;-14.8;-14.8;-14.8;0.0;-14.8;14.8;296.8;0.0;0.0;0.0;0.0;0.0;-14.8;29.7;14.8;0.0;0.0;0.0;0.0;0.0;-29.7;0.0
5	Waveform 1	1	1.719725341	1.908132281	1523.9	5721.6			0.188		4197.8						
5	Spectrogram 1	1	1.719725341	1.908132281	1523.9	5721.6	3531.4	3703.7	0.188	172.3	4197.8	3703.7	2.082	2411.7;2325.6;2325.6;2411.7;2411.7;2325.6;2325.6;2325.6;2153.3;2067.2;1981.1;1894.9;1894.9;1808.8;1808.8;3617.6;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3531.4;3703.7;3789.8;3789.8;3789.8;3789.8;3789.8;3789.8;3617.6;3789.8	7.7	9	-14.8;0.0;14.8;0.0;-14.8;0.0;0.0;-29.7;-14.8;-14.8;-14.8;0.0;-14.8;0.0;311.6;-14.8;0.0;0.0;0.0;14.8;0.0;-14.8;29.7;14.8;0.0;0.0;0.0;0.0;0.0;-29.7;29.7
6	Waveform 1	1	2.094019323	2.266725684	1523.9	5721.6			0.173		4197.8						
6	Spectrogram 1	1	2.094019323	2.266725684	1523.9	5721.6	3531.4	3789.8	0.173	258.4	4197.8	3703.7	2.169	2411.7;2411.7;2411.7;2411.7;2325.6;2239.5;2153.3;2067.2;2067.2;1894.9;1894.9;1894.9;2325.6;3617.6;3531.4;3531.4;3531.4;3531.4;3617.6;3617.6;3531.4;3703.7;3703.7;3703.7;3789.8;3789.8;3789.8;3703.7;3617.6	7.4	6	0.0;0.0;0.0;-14.8;-14.8;-14.8;-14.8;0.0;-29.7;0.0;0.0;74.2;222.6;-14.8;0.0;0.0;0.0;14.8;0.0;-14.8;29.7;0.0;0.0;14.8;0.0;0.0;-14.8;-14.8
