Species,Song,Locality,Population,Date,Duet (Y/N),Num of male elements,Num of female elements,Num of male elements overlapped by female elements,Time male start (s),Time male ends (s),Time female start (s),Time female ends (s),Delta_male_female,Male measurements (Y/N),Male measurement order,Female measurements (Y/N),Female Measurement order,Cicadas (Y/N),Cicada min freq,Cicada max freq,Notes,Original_measurer
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_p_1.26,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,4,0,0,0.603,,,,,Y,"2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_p_1.34,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,3,0,0,0.596,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_p_1.37,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,4,0,0,0.622,,,,,Y,"2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_p_1.42,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,4,0,0,0.074,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_p_1.48,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,2,0,0,NA,,,,,Y,2,N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_p_2.22,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,2,0,0,0.025,,,,,Y,"1,2",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_p_2.25,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,3,0,0,0.033,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_p_2.29,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,5,0,0,0.015,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_p_2.33,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,4,0,0,0.022,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_0.49,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,2,0,0,0.051,,,,,Y,"1,2",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_1.07,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,4,0,0,0.05,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_1.12,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,4,0,0,0.056,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_1.20,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,4,0,0,0.111,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_1.25,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,5,0,0,0.07,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_1.35,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,4,0,0,0.13,,,,,Y,4,N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_1.51,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,6,0,0,0.059,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_1.56,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,1,0,0,0.045,,,,,Y,1,N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_1.58,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,5,0,0,0.111,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_2.02,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,6,0,0,0.064,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_2.06,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,6,0,0,0.064,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_2.12,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,5,0,0,0.074,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_2.16,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,7,0,0,0.067,,,,,Y,"1,2,3,4,5,6,7",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_2.23,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,6,0,0,0.046,,,,,Y,"1,2,3,4,5,6",N,NA,,,,another male in background,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_2.28,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,5,0,0,3.44,,,,,Y,"1,2,3,4,5",N,NA,,,,2 songs in this chopped file. 2nd song included in data,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_2.36,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,5,0,0,0.032,,,,,Y,"1,2,3,4,5",N,NA,,,,another male in background,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_2.40,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,10,0,0,0.031,,,,,Y,"1,2,3,4,5,6,7,8,9,10",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_2.46,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,13,0,0,3.032,,,,,Y,"1,2,3,4,5,6,7,8,9,10,11,12,13",N,NA,,,,another male in background,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_2.56,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,5,0,0,0.052,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_q_3.00,"Within 100m of Njesi Camp, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,8,0,0,3.73,,,,,Y,"1,2,3,4,5,6,7,8",N,NA,,,,another male in background. 3 songs on this recording. Middle song measured.,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_ss_0.07,"Njesi E, Njesi Forest, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,4,0,0,0.064,,,,,Y,"2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_x_0.00,"60m ENE of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,2,0,0,0.11,,,,,Y,"1,2",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_x_0.08,"60m ENE of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,5,0,0,0.059,,,,,Y,"2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_x_0.12,"60m ENE of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,5,0,0,0.353,,,,,Y,"1,2,3,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_x_0.18,"60m ENE of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,4,0,0,1.247,,,,,Y,"2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_x_0.24,"60m ENE of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,4,0,0,0.066,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_x_0.26,"60m ENE of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,3,0,0,1.754,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_z_0.01,"60-70m E of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,6,0,0,0.042,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_z_0.05,"60-70m E of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,5,0,0,0.051,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_z_0.09,"60-70m E of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,6,0,0,0.041,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_z_0.12,"60-70m E of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,4,0,0,0.099,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_z_0.17,"60-70m E of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,6,0,0,0.063,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_z_0.22,"60-70m E of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,6,0,0,0.07,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_z_0.28,"60-70m E of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,5,0,0,0.081,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_z_0.36,"60-70m E of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,3,0,0,0.041,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul302011_njesi_jpm_z_0.40,"60-70m E of Njesi Camp, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,30-Jul-11,N,4,0,0,0.08,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul312011_njesi_jpm_fff_0.07,"Njesi A, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,31-Jul-11,N,8,0,0,0.042,,,,,Y,"2,3,4,5,6,7,8",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_jul312011_njesi_jpm_zz_0.19,"Njesi B, Njesi Plateau, Malulo-Cal Village, Sanga District, Niassa Province, Mozambique",Njesi,31-Jul-11,N,5,0,0,0.096,,,,,Y,"1,4,5",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_june252000_Amani_CM_a_0.56,Amani Nature Reserve CM,East Usambara,25-Jun-02,N,4,0,0,0.095,,,,,Y,"1,2,3,4",N,NA,Y,3359.4,4154.4,,TB
Artisornis moreaui,Artisornis.moreaui_june252000_Amani_CM_a_1.01,Amani Nature Reserve CM,East Usambara,25-Jun-02,N,3,0,0,0.102,,,,,Y,"1,2,3",N,NA,Y,3308.1,4256.9,can't find Tricia's selection tables,TB
Artisornis moreaui,Artisornis.moreaui_june252000_Amani_CM_a_1.12,Amani Nature Reserve CM,East Usambara,25-Jun-02,N,3,0,0,0.094,,,,,Y,"1,2,3",N,NA,Y,3372.8,4243.2,can't find Tricia's selection tables,TB
Artisornis moreaui,Artisornis.moreaui_june252000_Amani_CM_b_0.05,Amani Nature Reserve CM,East Usambara,25-Jun-00,N,6,0,0,0.054,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_june252000_Amani_CM_b_0.10,Amani Nature Reserve CM,East Usambara,25-Jun-00,N,6,0,0,0.067,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_june252000_Amani_CM_b_0.14,Amani Nature Reserve CM,East Usambara,25-Jun-00,N,6,0,0,0.039,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_june252000_Amani_CM_b_0.21,Amani Nature Reserve CM,East Usambara,25-Jun-00,N,6,0,0,0.056,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_june252000_Amani_CM_b_0.30,Amani Nature Reserve CM,East Usambara,25-Jun-00,N,3,0,0,0.034,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.01,TRC Amani E29,East Usambara,29-May-14,N,6,0,0,0.327,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.06,TRC Amani E29,East Usambara,29-May-14,N,5,0,0,0.284,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.09,TRC Amani E29,East Usambara,29-May-14,N,6,0,0,0.271,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.14,TRC Amani E29,East Usambara,29-May-14,N,6,0,0,0.175,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.18,TRC Amani E29,East Usambara,29-May-14,N,6,0,0,0.306,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.23,TRC Amani E29,East Usambara,29-May-14,N,6,0,0,0.253,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.27,TRC Amani E29,East Usambara,29-May-14,N,6,0,0,0.62,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.32,TRC Amani E29,East Usambara,29-May-14,N,6,0,0,0.276,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.36,TRC Amani E29,East Usambara,29-May-14,N,6,0,0,0.632,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.42,TRC Amani E29,East Usambara,29-May-14,N,5,0,0,0.26,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.46,TRC Amani E29,East Usambara,29-May-14,N,5,0,0,0.417,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.50,TRC Amani E29,East Usambara,29-May-14,N,5,0,0,0.228,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.54,TRC Amani E29,East Usambara,29-May-14,N,5,0,0,0.518,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_0.58,TRC Amani E29,East Usambara,29-May-14,N,5,0,0,0.238,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_1.03,TRC Amani E29,East Usambara,29-May-14,N,4,0,0,0.238,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_1.07,TRC Amani E29,East Usambara,29-May-14,N,6,0,0,0.594,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_1.14,TRC Amani E29,East Usambara,29-May-14,N,5,0,0,0.17,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_1.19,TRC Amani E29,East Usambara,29-May-14,N,5,0,0,0.241,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_1.24,TRC Amani E29,East Usambara,29-May-14,N,6,0,0,0.181,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_d_1.29,TRC Amani E29,East Usambara,29-May-14,N,3,0,0,0.284,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_j_0.03,TRC Amani 5 E29,East Usambara,29-May-14,N,5,0,0,0.14,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_j_0.08,TRC Amani 5 E29,East Usambara,29-May-14,N,3,0,0,0.171,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_k_0.03,TRC Amani 5 E29,East Usambara,29-May-14,N,6,0,0,0.624,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_k_0.07,TRC Amani 5 E29,East Usambara,29-May-14,N,4,0,0,0.377,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_k_0.11,TRC Amani 5 E29,East Usambara,29-May-14,N,4,0,0,0.351,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_k_0.15,TRC Amani 5 E29,East Usambara,29-May-14,N,6,0,0,0.402,,,,,Y,"1,2,3,4,5,6",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_k_0.20,TRC Amani 5 E29,East Usambara,29-May-14,N,4,0,0,0.25,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_k_0.24,TRC Amani 5 E29,East Usambara,29-May-14,N,4,0,0,0.218,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_k_0.29,TRC Amani 5 E29,East Usambara,29-May-14,N,5,0,0,0.14,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_k_0.34,TRC Amani 5 E29,East Usambara,29-May-14,N,3,0,0,0.207,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_k_0.39,TRC Amani 5 E29,East Usambara,29-May-14,N,4,0,0,0.31,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_k_0.44,TRC Amani 5 E29,East Usambara,29-May-14,N,3,0,0,0.27,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_n_0.07,TRC Amani 7 E29,East Usambara,29-May-14,N,4,0,0,0.427,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_n_0.24,TRC Amani 7 E29,East Usambara,29-May-14,N,5,0,0,0.566,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_n_0.31,TRC Amani 7 E29,East Usambara,29-May-14,N,5,0,0,0.117,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_o_0.31,TRC Amani 7 E29,East Usambara,29-May-14,N,3,0,0,0.233,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_o_0.34,TRC Amani 7 E29,East Usambara,29-May-14,N,3,0,0,0.293,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_o_0.38,TRC Amani 7 E29,East Usambara,29-May-14,N,4,0,0,0.336,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_o_0.42,TRC Amani 7 E29,East Usambara,29-May-14,N,3,0,0,0.332,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.moreaui_May292014_Amani_EM_o_0.46,TRC Amani 7 E29,East Usambara,29-May-14,N,3,0,0,0.184,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_Oct82002_Amani_LM_a_0.04,Amani Nature Reserve,East Usambara,8-Oct-02,N,4,0,0,0.013,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_Oct82002_Amani_LM_a_0.07,Amani Nature Reserve,East Usambara,8-Oct-02,N,4,0,0,0.038,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_Oct82002_Amani_LM_a_0.11,Amani Nature Reserve,East Usambara,8-Oct-02,N,5,0,0,0.024,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_Oct82002_Amani_LM_a_0.14,Amani Nature Reserve,East Usambara,8-Oct-02,N,4,0,0,0.039,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_Oct82002_Amani_LM_a_0.20,Amani Nature Reserve,East Usambara,8-Oct-02,N,5,0,0,0.035,,,,,Y,"1,2,3,4,5",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_Oct82002_Amani_LM_a_0.23,Amani Nature Reserve,East Usambara,8-Oct-02,N,3,0,0,0.065,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_Oct82002_Amani_LM_a_0.25,Amani Nature Reserve,East Usambara,8-Oct-02,N,3,0,0,0.039,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_Oct82002_Amani_LM_a_0.30,Amani Nature Reserve,East Usambara,8-Oct-02,N,3,0,0,0.073,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_Oct82002_Amani_LM_a_0.34,Amani Nature Reserve,East Usambara,8-Oct-02,N,3,0,0,0.032,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,Artisornis.moreaui_Oct82002_Amani_LM_a_0.37,Amani Nature Reserve,East Usambara,8-Oct-02,N,3,0,0,0.897,,,,,Y,"2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.sousae_nov082016_mountchitagal_gj_a_0.09,Mount Chitagal Individual 4,Njesi,8-Nov-16,N,4,0,0,0.751,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.sousae_nov082016_mountchitagal_gj_a_0.14,Mount Chitagal Individual 4,Njesi,8-Nov-16,N,4,0,0,0.283,,,,,Y,"1,2,3,4",N,NA,,,,,SP
Artisornis moreaui,artisornis.sousae_nov082016_mountchitagal_gj_a_0.26,Mount Chitagal Individual 4,Njesi,8-Nov-16,N,3,0,0,0.061,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.sousae_nov082016_mountchitagal_gj_a_0.34,Mount Chitagal Individual 4,Njesi,8-Nov-16,N,4,0,0,0.021,,,,,Y,"1,2",N,NA,,,,,SP
Artisornis moreaui,artisornis.sousae_nov082016_mountchitagal_gj_a_0.35,Mount Chitagal Individual 4,Njesi,8-Nov-16,N,2,0,0,0.239,,,,,Y,"1,2",N,NA,,,,,SP
Artisornis moreaui,artisornis.sousae_nov082016_mountchitagal_gj_a_0.37,Mount Chitagal Individual 4,Njesi,8-Nov-16,N,2,0,0,0.198,,,,,Y,"1,2",N,NA,,,,,SP
Artisornis moreaui,artisornis.sousae_nov082016_mountchitagal_gj_a_0.38,Mount Chitagal Individual 4,Njesi,8-Nov-16,N,3,0,0,0.057,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.sousae_nov082016_mountchitagal_gj_a_0.40,Mount Chitagal Individual 4,Njesi,8-Nov-16,N,3,0,0,0.16,,,,,Y,"1,2,3",N,NA,,,,,SP
Artisornis moreaui,artisornis.sousae_nov082016_mountchitagal_gj_a_0.44,Mount Chitagal Individual 4,Njesi,8-Nov-16,N,2,0,0,0.066,,,,,Y,"1,2",N,NA,,,,,SP
